Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_3C,Puntos_4C,Puntos_PR
2010,1,ASE,L,100:00,79,13/18,72%,21/45,47%,8/23,35%,36,74,,,,, 
2010,1,RMB,V,100:00,84,16/24,67%,19/37,51%,10/23,43%,35,94,,,,, 
2010,1,CAJ,L,100:00,85,20/21,95%,22/39,56%,7/29,24%,31,100,,,,, 
2010,1,DKV,V,100:00,80,12/14,86%,25/45,56%,6/12,50%,35,85,,,,, 
2010,1,CAI,L,100:00,76,12/17,71%,20/40,50%,8/23,35%,34,81,,,,, 
2010,1,UNI,V,100:00,79,6/10,60%,20/38,53%,11/23,48%,32,82,,,,, 
2010,1,MEN,L,100:00,73,14/22,64%,16/36,44%,9/15,60%,41,84,,,,, 
2010,1,BRV,V,100:00,61,8/14,57%,19/41,46%,5/17,29%,24,45,,,,, 
2010,1,FCB,L,100:00,83,11/14,79%,24/34,71%,8/25,32%,31,108,,,,, 
2010,1,GCA,V,100:00,58,8/12,67%,19/49,39%,4/12,33%,35,43,,,,, 
2010,1,CLA,L,100:00,92,9/13,69%,25/41,61%,11/20,55%,39,124,,,,, 
2010,1,ALI,V,100:00,47,9/14,64%,16/46,35%,2/9,22%,25,25,,,,, 
2010,1,FUE,L,100:00,71,20/24,83%,18/39,46%,5/26,19%,41,82,,,,, 
2010,1,GBC,V,100:00,64,4/6,67%,21/48,44%,6/19,32%,37,56,,,,, 
2010,1,VBC,L,100:00,104,17/19,89%,27/42,64%,11/19,58%,34,112,,,,, 
2010,1,GRA,V,100:00,81,29/35,83%,23/43,53%,2/17,12%,24,82,,,,, 
2010,1,MAN,L,100:00,59,11/20,55%,18/33,55%,4/20,20%,21,50,,,,, 
2010,1,BBB,V,100:00,86,11/15,73%,21/39,54%,11/18,61%,38,97,,,,, 
2010,2,UNI,L,100:00,76,10/15,67%,21/36,58%,8/26,31%,34,92,,,,, 
2010,2,CLA,V,100:00,69,5/7,71%,20/38,53%,8/25,32%,35,62,,,,, 
2010,2,BRV,L,100:00,79,10/14,71%,24/44,55%,7/16,44%,31,98,,,,, 
2010,2,ASE,V,100:00,66,9/13,69%,18/36,50%,7/18,39%,27,59,,,,, 
2010,2,BBB,L,100:00,77,9/14,64%,28/41,68%,4/20,20%,39,90,,,,, 
2010,2,VBC,V,100:00,70,11/16,69%,16/31,52%,9/29,31%,30,68,,,,, 
2010,2,RMB,L,100:00,81,12/13,92%,21/35,60%,9/22,41%,38,101,,,,, 
2010,2,MAN,V,100:00,63,9/19,47%,21/33,64%,4/19,21%,18,50,,,,, 
2010,2,DKV,L,100:00,91,15/18,83%,23/43,53%,10/23,43%,33,105,,,,, 
2010,2,MEN,V,100:00,73,14/19,74%,25/53,47%,3/9,33%,39,65,,,,, 
2010,2,ALI,L,100:00,68,10/15,67%,17/38,45%,8/18,44%,26,60,,,,, 
2010,2,FUE,V,100:00,76,16/23,70%,21/35,60%,6/26,23%,36,81,,,,, 
2010,2,GRA,L,100:00,78,19/21,90%,22/48,46%,5/15,33%,36,80,,,,, 
2010,2,FCB,V,100:00,85,22/24,92%,15/36,42%,11/25,44%,35,97,,,,, 
2010,2,GBC,L,100:00,73,10/12,83%,18/35,51%,9/21,43%,35,79,,,,, 
2010,2,CAJ,V,100:00,60,11/18,61%,14/42,33%,7/21,33%,34,47,,,,, 
2010,2,GCA,L,100:00,83,19/23,83%,17/38,45%,10/20,50%,32,99,,,,, 
2010,2,CAI,V,100:00,61,8/14,57%,16/34,47%,7/21,33%,29,48,,,,, 
2010,3,CLA,L,100:00,82,9/15,60%,20/36,56%,11/22,50%,32,109,,,,, 
2010,3,GCA,V,100:00,61,8/9,89%,13/36,36%,9/19,47%,28,44,,,,, 
2010,3,VBC,L,100:00,69,15/21,71%,18/41,44%,6/18,33%,40,65,,,,, 
2010,3,FCB,V,100:00,78,9/13,69%,24/47,51%,7/20,35%,31,91,,,,, 
2010,3,BBB,L,100:00,73,17/20,85%,19/42,45%,6/18,33%,32,64,,,,, 
2010,3,RMB,V,100:00,75,16/23,70%,22/45,49%,5/14,36%,39,82,,,,, 
2010,3,CAI,L,100:00,89,12/20,60%,13/34,38%,17/29,59%,37,104,,,,, 
2010,3,GRA,V,100:00,75,11/13,85%,23/39,59%,6/26,23%,32,68,,,,, 
2010,3,CAJ,L,100:00,65,11/19,58%,15/37,41%,8/24,33%,44,72,,,,, 
2010,3,ALI,V,100:00,49,16/20,80%,9/26,35%,5/19,26%,29,38,,,,, 
2010,3,MEN,L,100:00,87,21/25,84%,27/48,56%,4/19,21%,29,82,,,,, 
2010,3,GBC,V,100:00,96,15/19,79%,21/26,81%,13/25,52%,26,96,,,,, 
2010,3,MAN,L,100:00,72,15/20,75%,12/28,43%,11/32,34%,36,69,,,,, 
2010,3,BRV,V,100:00,76,15/19,79%,23/52,44%,5/17,29%,44,78,,,,, 
2010,3,FUE,L,100:00,84,20/26,77%,20/32,63%,8/26,31%,31,98,,,,, 
2010,3,UNI,V,100:00,74,7/8,88%,26/40,65%,5/22,23%,31,67,,,,, 
2010,3,ASE,L,100:00,66,14/19,74%,17/43,40%,6/28,21%,46,56,,,,, 
2010,3,DKV,V,100:00,77,13/22,59%,23/48,48%,6/20,30%,42,74,,,,, 
2010,4,RMB,L,100:00,75,21/22,95%,15/36,42%,8/23,35%,31,87,,,,, 
2010,4,VBC,V,100:00,63,13/19,68%,16/32,50%,6/17,35%,35,65,,,,, 
2010,4,FCB,L,100:00,70,4/7,57%,30/54,56%,2/20,10%,42,79,,,,, 
2010,4,CAI,V,100:00,71,13/20,65%,20/46,43%,6/19,32%,41,72,,,,, 
2010,4,BRV,L,100:00,68,12/16,75%,16/35,46%,8/18,44%,28,67,,,,, 
2010,4,BBB,V,100:00,60,16/19,84%,16/35,46%,4/20,20%,35,56,,,,, 
2010,4,DKV,L,100:00,82,11/20,55%,28/54,52%,5/16,31%,46,84,,,,, 
2010,4,MAN,V,100:00,67,15/22,68%,17/38,45%,6/25,24%,30,57,,,,, 
2010,4,ALI,L,100:00,59,12/14,86%,16/31,52%,5/20,25%,27,50,,,,, 
2010,4,MEN,V,100:00,61,13/15,87%,21/47,45%,2/6,33%,34,62,,,,, 
2010,4,UNI,L,100:00,82,4/5,80%,27/44,61%,8/23,35%,29,95,,,,, 
2010,4,CAJ,V,100:00,76,18/23,78%,20/36,56%,6/20,30%,31,82,,,,, 
2010,4,GCA,L,100:00,71,13/13,100%,23/47,49%,4/14,29%,40,81,,,,, 
2010,4,FUE,V,100:00,70,17/21,81%,13/29,45%,9/26,35%,25,69,,,,, 
2010,4,GBC,L,100:00,75,10/16,63%,19/30,63%,9/24,38%,35,79,,,,, 
2010,4,ASE,V,100:00,59,9/14,64%,19/40,48%,4/20,20%,32,62,,,,, 
2010,4,GRA,L,100:00,81,13/20,65%,19/36,53%,10/29,34%,29,77,,,,, 
2010,4,CLA,V,100:00,85,20/23,87%,19/34,56%,9/21,43%,38,104,,,,, 
2010,5,ALI,L,100:00,78,17/22,77%,20/41,49%,7/18,39%,35,78,,,,, 
2010,5,RMB,V,100:00,67,24/31,77%,17/32,53%,3/19,16%,32,66,,,,, 
2010,5,CAI,L,100:00,82,18/22,82%,11/27,41%,14/25,56%,32,101,,,,, 
2010,5,CAJ,V,100:00,78,11/13,85%,17/39,44%,11/28,39%,35,68,,,,, 
2010,5,BBB,L,100:00,89,20/26,77%,27/38,71%,5/21,24%,32,89,,,,, 
2010,5,UNI,V,100:00,71,19/28,68%,14/23,61%,8/26,31%,24,54,,,,, 
2010,5,GRA,L,100:00,77,15/22,68%,13/33,39%,12/23,52%,29,78,,,,, 
2010,5,ASE,V,100:00,74,16/23,70%,23/41,56%,4/19,21%,37,75,,,,, 
2010,5,FCB,L,100:00,84,11/15,73%,20/36,56%,11/28,39%,40,112,,,,, 
2010,5,MEN,V,100:00,44,6/9,67%,16/44,36%,2/14,14%,33,19,,,,, 
2010,5,CLA,L,100:00,90,10/14,71%,25/41,61%,10/24,42%,24,97,,,,, 
2010,5,FUE,V,100:00,81,8/11,73%,29/43,67%,5/19,26%,35,97,,,,, 
