Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2017,1,BAR,L,200:00,87,10/18,56%,22/44,50%,11/27,41%,35,94,24,21,11,31, 
2017,1,BAS,V,200:00,82,17/21,81%,16/34,47%,11/28,39%,39,85,26,16,25,15, 
2017,1,MKF,L,200:00,82,19/24,79%,24/45,53%,5/23,22%,45,97,26,17,19,20, 
2017,1,RBB,V,200:00,68,7/14,50%,20/47,43%,7/22,32%,37,54,16,15,16,21, 
2017,1,MOB,L,200:00,80,17/23,74%,21/35,60%,7/25,28%,36,100,20,19,17,24, 
2017,1,ZGZ,V,200:00,74,12/13,92%,13/30,43%,12/32,38%,34,65,16,22,23,13, 
2017,1,BET,L,200:00,80,9/11,82%,25/43,58%,7/21,33%,28,76,18,16,25,21, 
2017,1,VBC,V,200:00,90,13/14,93%,22/34,65%,11/21,52%,27,107,19,23,22,26, 
2017,1,UCM,L,200:00,64,9/10,90%,14/30,47%,9/29,31%,27,63,11,13,19,21, 
2017,1,UNI,V,200:00,74,10/12,83%,17/37,46%,10/24,42%,35,86,17,16,22,19, 
2017,1,SPB,L,200:00,65,14/17,82%,18/47,38%,5/23,22%,33,65,16,10,19,20, 
2017,1,IBT,V,200:00,81,12/14,86%,21/37,57%,9/27,33%,45,98,19,19,19,24, 
2017,1,HGC,L,200:00,84,11/12,92%,20/37,54%,11/25,44%,34,107,23,24,14,23, 
2017,1,GBC,V,200:00,76,10/17,59%,27/55,49%,4/17,24%,40,80,18,16,23,19, 
2017,1,RMB,L,200:00,94,10/16,63%,27/41,66%,10/21,48%,41,110,26,24,13,31, 
2017,1,MBA,V,200:00,88,21/25,84%,17/42,40%,11/24,46%,22,89,18,17,25,28, 
2017,1,MOV,L,225:00,101,18/28,64%,25/51,49%,11/27,41%,38,113,20,23,18,20,20
2017,1,JOV,V,225:00,94,14/22,64%,25/46,54%,10/25,40%,48,93,25,21,21,14,13
2017,2,GBC,L,200:00,94,11/14,79%,34/52,65%,5/22,23%,44,115,18,24,26,26, 
2017,2,BET,V,200:00,60,23/30,77%,14/29,48%,3/27,11%,30,35,10,15,18,17, 
2017,2,ZGZ,L,200:00,95,8/13,62%,24/42,57%,13/31,42%,30,87,16,25,25,29, 
2017,2,HGC,V,200:00,99,24/34,71%,24/39,62%,9/21,43%,37,115,29,15,28,27, 
2017,2,VBC,L,200:00,80,15/19,79%,22/42,52%,7/21,33%,36,99,22,13,22,23, 
2017,2,MOB,V,200:00,67,6/10,60%,17/36,47%,9/23,39%,29,55,19,16,19,13, 
2017,2,MBA,L,225:00,94,23/31,74%,22/46,48%,9/21,43%,23,90,18,24,14,27,11
2017,2,MKF,V,225:00,95,22/27,81%,26/50,52%,7/16,44%,45,104,19,22,21,21,12
