Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2003,1,EST,L,100:00,70,15/18,83%,20/37,54%,5/20,25%,41,84,,,,, 
2003,1,MUR,V,100:00,58,12/15,80%,14/38,37%,6/21,29%,29,38,,,,, 
2003,1,FUE,L,100:00,87,16/22,73%,22/45,49%,9/23,39%,30,75,,,,, 
2003,1,CSF,V,100:00,101,19/25,76%,23/37,62%,12/21,57%,33,115,,,,, 
2003,1,BRE,L,100:00,60,16/23,70%,16/43,37%,4/18,22%,33,48,,,,, 
2003,1,FCB,V,100:00,69,10/11,91%,19/40,48%,7/13,54%,32,72,,,,, 
2003,1,RMB,L,100:00,92,26/28,93%,21/37,57%,8/19,42%,32,94,,,,, 
2003,1,DKV,V,100:00,91,18/28,64%,29/49,59%,5/15,33%,28,91,,,,, 
2003,1,TEN,L,100:00,78,16/21,76%,22/43,51%,6/21,29%,37,78,,,,, 
2003,1,LLE,V,100:00,73,16/25,64%,27/50,54%,1/10,10%,35,75,,,,, 
2003,1,UNI,L,100:00,95,23/30,77%,21/44,48%,10/16,63%,38,104,,,,, 
2003,1,FOR,V,100:00,92,25/31,81%,20/43,47%,9/21,43%,24,91,,,,, 
2003,1,MAN,L,100:00,78,22/27,81%,19/36,53%,6/18,33%,29,79,,,,, 
2003,1,PAM,V,100:00,72,16/26,62%,19/36,53%,6/18,33%,31,72,,,,, 
2003,1,GCA,L,100:00,79,15/22,68%,23/50,46%,6/13,46%,36,69,,,,, 
2003,1,TAU,V,100:00,82,19/26,73%,24/46,52%,5/13,38%,31,88,,,,, 
2003,1,ALI,L,100:00,83,12/14,86%,25/46,54%,7/19,37%,36,92,,,,, 
2003,1,GIR,V,100:00,74,15/19,79%,22/50,44%,5/15,33%,29,66,,,,, 
2003,2,FCB,L,100:00,77,12/17,71%,22/52,42%,7/14,50%,37,83,,,,, 
2003,2,GCA,V,100:00,82,13/17,76%,24/50,48%,7/16,44%,34,88,,,,, 
2003,2,GIR,L,100:00,79,18/23,78%,20/45,44%,7/22,32%,42,97,,,,, 
2003,2,RMB,V,100:00,76,11/16,69%,22/48,46%,7/15,47%,33,64,,,,, 
2003,2,CSF,L,100:00,85,23/26,88%,22/39,56%,6/21,29%,34,93,,,,, 
