Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2006,1,RMB,L,100:00,85,13/14,93%,24/44,55%,8/19,42%,34,92,,,,, 
2006,1,UNI,V,100:00,56,8/21,38%,15/35,43%,6/21,29%,33,48,,,,, 
2006,1,AGF,L,100:00,95,20/26,77%,21/43,49%,11/23,48%,27,102,,,,, 
2006,1,GRA,V,100:00,90,18/24,75%,21/36,58%,10/20,50%,31,89,,,,, 
2006,1,GCV,L,100:00,74,11/15,73%,21/44,48%,7/24,29%,32,63,,,,, 
2006,1,GIR,V,100:00,75,18/26,69%,18/34,53%,7/22,32%,43,85,,,,, 
2006,1,ALI,L,100:00,58,15/21,71%,14/36,39%,5/17,29%,37,74,,,,, 
2006,1,FCB,V,100:00,51,9/11,82%,15/38,39%,4/17,24%,35,39,,,,, 
2006,1,DKV,L,100:00,89,13/17,76%,29/55,53%,6/16,38%,41,110,,,,, 
2006,1,MEN,V,100:00,72,15/26,58%,21/44,48%,5/18,28%,34,66,,,,, 
2006,1,PAM,L,100:00,94,21/27,78%,23/44,52%,9/23,39%,35,93,,,,, 
2006,1,TAU,V,100:00,95,24/33,73%,19/34,56%,11/28,39%,33,103,,,,, 
2006,1,CAJ,L,100:00,86,10/14,71%,26/43,60%,8/24,33%,29,85,,,,, 
2006,1,MMT,V,100:00,88,19/30,63%,18/36,50%,11/23,48%,34,98,,,,, 
2006,1,GCA,L,100:00,75,16/18,89%,22/46,48%,5/14,36%,33,76,,,,, 
2006,1,MUR,V,100:00,67,8/14,57%,19/41,46%,7/17,41%,32,55,,,,, 
2006,1,GBC,L,100:00,54,11/20,55%,14/39,36%,5/20,25%,39,52,,,,, 
2006,1,LBB,V,100:00,59,12/14,86%,13/32,41%,7/22,32%,35,45,,,,, 
2006,2,GIR,L,100:00,72,15/19,79%,18/33,55%,7/18,39%,33,89,,,,, 
2006,2,DKV,V,100:00,63,4/6,67%,22/53,42%,5/19,26%,40,49,,,,, 
2006,2,MMT,L,100:00,85,15/20,75%,26/39,67%,6/22,27%,26,94,,,,, 
2006,2,GCV,V,100:00,82,9/12,75%,20/37,54%,11/25,44%,37,94,,,,, 
