Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_3C,Puntos_4C,Puntos_PR
2012,1,CJB,L,100:00,89,20/23,87%,24/40,60%,7/18,39%,30,104,,,,, 
2012,1,GBC,V,100:00,73,11/19,58%,19/35,54%,8/23,35%,29,71,,,,, 
2012,1,CAI,L,100:00,88,19/25,76%,24/41,59%,7/15,47%,29,103,,,,, 
2012,1,CLA,V,100:00,75,6/8,75%,24/50,48%,7/12,58%,30,68,,,,, 
2012,1,VBC,L,100:00,93,8/9,89%,20/38,53%,15/27,56%,37,107,,,,, 
2012,1,MCF,V,100:00,65,20/23,87%,15/37,41%,5/22,23%,31,56,,,,, 
2012,1,ASE,L,100:00,101,15/18,83%,28/43,65%,10/23,43%,35,114,,,,, 
2012,1,CAN,V,100:00,86,9/10,90%,16/37,43%,15/28,54%,24,85,,,,, 
2012,1,CAJ,L,100:00,77,16/23,70%,20/42,48%,7/20,35%,32,80,,,,, 
2012,1,UCM,V,100:00,93,9/15,60%,27/35,77%,10/28,36%,30,103,,,,, 
2012,1,GC,L,100:00,65,11/19,58%,21/38,55%,4/16,25%,37,71,,,,, 
2012,1,UBB,V,100:00,59,8/12,67%,21/39,54%,3/22,14%,31,46,,,,, 
2012,1,FCB,L,100:00,71,9/11,82%,25/46,54%,4/21,19%,31,73,,,,, 
2012,1,BRV,V,100:00,78,11/12,92%,26/57,46%,5/13,38%,42,83,,,,, 
2012,1,BSM,L,100:00,83,15/19,79%,31/45,69%,2/10,20%,28,95,,,,, 
2012,1,ASS,V,100:00,78,14/17,82%,17/31,55%,10/25,40%,23,66,,,,, 
2012,1,RMB,L,100:00,79,19/27,70%,12/23,52%,12/27,44%,29,97,,,,, 
2012,1,UNI,V,100:00,64,7/9,78%,18/39,46%,7/20,35%,27,39,,,,, 
2012,2,BRV,L,100:00,75,9/11,82%,21/45,47%,8/20,40%,32,63,,,,, 
2012,2,RMB,V,100:00,100,5/7,71%,25/42,60%,15/28,54%,32,120,,,,, 
2012,2,CAN,L,100:00,65,10/15,67%,23/45,51%,3/12,25%,31,67,,,,, 
2012,2,CAI,V,100:00,85,2/4,50%,25/46,54%,11/22,50%,37,87,,,,, 
2012,2,UNI,L,100:00,73,14/23,61%,25/47,53%,3/11,27%,40,87,,,,, 
2012,2,CJB,V,100:00,71,15/19,79%,16/34,47%,8/28,29%,29,58,,,,, 
2012,2,MCF,L,100:00,71,11/13,85%,18/45,40%,8/27,30%,40,59,,,,, 
2012,2,BSM,V,100:00,79,17/24,71%,16/37,43%,10/22,45%,38,95,,,,, 
2012,2,CLA,L,100:00,90,18/21,86%,21/34,62%,10/17,59%,25,105,,,,, 
2012,2,CAJ,V,100:00,70,14/22,64%,19/37,51%,6/18,33%,31,68,,,,, 
2012,2,ASS,L,100:00,64,12/15,80%,17/34,50%,6/21,29%,27,70,,,,, 
2012,2,GC,V,100:00,80,4/8,50%,26/44,59%,8/19,42%,37,78,,,,, 
2012,2,UCM,L,100:00,77,23/29,79%,21/35,60%,4/18,22%,30,71,,,,, 
2012,2,VBC,V,100:00,78,24/30,80%,18/41,44%,6/23,26%,42,77,,,,, 
2012,2,GBC,L,100:00,71,21/28,75%,10/29,34%,10/22,45%,31,63,,,,, 
2012,2,ASE,V,100:00,83,15/20,75%,19/35,54%,10/23,43%,30,96,,,,, 
2012,2,UBB,L,100:00,78,21/26,81%,21/44,48%,5/12,42%,32,88,,,,, 
2012,2,FCB,V,100:00,77,16/26,62%,23/42,55%,5/25,20%,44,80,,,,, 
2012,3,GC,L,100:00,64,11/16,69%,22/42,52%,3/21,14%,30,61,,,,, 
2012,3,CLA,V,100:00,80,3/5,60%,25/40,63%,9/21,43%,34,93,,,,, 
2012,3,VBC,L,100:00,83,13/17,76%,23/38,61%,8/21,38%,30,91,,,,, 
2012,3,CAI,V,100:00,73,11/18,61%,22/37,59%,6/16,38%,27,76,,,,, 
2012,3,BSM,L,100:00,71,11/15,73%,21/43,49%,6/24,25%,32,71,,,,, 
2012,3,CAN,V,100:00,68,20/26,77%,15/35,43%,6/22,27%,37,65,,,,, 
2012,3,ASE,L,100:00,76,10/13,77%,18/44,41%,10/25,40%,40,89,,,,, 
2012,3,CAJ,V,100:00,46,5/8,63%,19/42,45%,1/11,9%,37,34,,,,, 
2012,3,GBC,L,100:00,65,10/15,67%,14/31,45%,9/31,29%,35,58,,,,, 
2012,3,UBB,V,100:00,72,11/14,79%,20/38,53%,7/20,35%,38,73,,,,, 
2012,3,UNI,L,100:00,79,12/15,80%,29/56,52%,3/19,16%,46,100,,,,, 
2012,3,BRV,V,100:00,55,7/12,58%,18/46,39%,4/18,22%,43,46,,,,, 
2012,3,CJB,L,100:00,83,12/17,71%,13/37,35%,15/27,56%,39,87,,,,, 
2012,3,ASS,V,100:00,71,18/21,86%,13/34,38%,9/27,33%,33,68,,,,, 
2012,3,FCB,L,100:00,87,10/13,77%,28/40,70%,7/22,32%,38,114,,,,, 
2012,3,UCM,V,100:00,68,11/15,73%,21/43,49%,5/24,21%,31,63,,,,, 
2012,3,RMB,L,100:00,100,15/19,79%,26/48,54%,11/26,42%,39,99,,,,, 
2012,3,MCF,V,100:00,79,27/38,71%,17/33,52%,6/18,33%,29,68,,,,, 
2012,4,MCF,L,100:00,58,15/17,88%,14/38,37%,5/24,21%,32,54,,,,, 
2012,4,UNI,V,100:00,73,11/13,85%,22/45,49%,6/16,38%,43,82,,,,, 
2012,4,CAJ,L,100:00,74,10/12,83%,20/42,48%,8/23,35%,26,75,,,,, 
2012,4,GC,V,100:00,63,11/16,69%,17/37,46%,6/17,35%,39,60,,,,, 
2012,4,UBB,L,100:00,86,13/16,81%,26/39,67%,7/19,37%,23,82,,,,, 
2012,4,ASE,V,100:00,85,21/30,70%,23/37,62%,6/21,29%,31,88,,,,, 
2012,4,UCM,L,100:00,77,18/24,75%,22/46,48%,5/19,26%,44,79,,,,, 
2012,4,GBC,V,100:00,75,13/16,81%,25/48,52%,4/17,24%,35,79,,,,, 
2012,4,CLA,L,100:00,92,9/13,69%,31/44,70%,7/17,41%,29,96,,,,, 
2012,4,CJB,V,100:00,76,16/21,76%,21/39,54%,6/22,27%,28,69,,,,, 
2012,4,VBC,L,100:00,68,14/16,88%,21/46,46%,4/21,19%,31,61,,,,, 
2012,4,BSM,V,100:00,64,15/21,71%,17/32,53%,5/15,33%,35,68,,,,, 
2012,4,CAN,L,100:00,86,18/21,86%,22/46,48%,8/19,42%,32,90,,,,, 
2012,4,RMB,V,100:00,88,21/26,81%,20/35,57%,9/25,36%,35,102,,,,, 
2012,4,CAI,L,100:00,50,4/5,80%,20/49,41%,2/12,17%,30,42,,,,, 
2012,4,FCB,V,100:00,65,10/15,67%,20/36,56%,5/16,31%,38,74,,,,, 
2012,4,ASS,L,100:00,81,11/14,79%,17/33,52%,12/36,33%,34,83,,,,, 
2012,4,BRV,V,100:00,83,11/15,73%,27/47,57%,6/16,38%,37,92,,,,, 
2012,5,ASE,L,100:00,85,23/30,77%,25/37,68%,4/15,27%,27,95,,,,, 
2012,5,VBC,V,100:00,82,14/18,78%,22/42,52%,8/18,44%,28,69,,,,, 
2012,5,BRV,L,100:00,70,17/21,81%,16/35,46%,7/17,41%,32,67,,,,, 
2012,5,UBB,V,100:00,76,16/19,84%,24/50,48%,4/12,33%,31,78,,,,, 
2012,5,BSM,L,100:00,82,5/8,63%,19/39,49%,13/22,59%,30,97,,,,, 
2012,5,CAJ,V,100:00,61,10/12,83%,15/33,45%,7/19,37%,25,57,,,,, 
2012,5,GC,L,100:00,74,13/18,72%,17/37,46%,9/27,33%,44,83,,,,, 
2012,5,CAI,V,100:00,56,10/15,67%,17/37,46%,4/21,19%,33,45,,,,, 
2012,5,FCB,L,100:00,100,12/16,75%,29/44,66%,10/19,53%,35,131,,,,, 
2012,5,CAN,V,100:00,75,8/14,57%,20/43,47%,9/21,43%,27,74,,,,, 
2012,5,GBC,L,100:00,75,6/13,46%,18/36,50%,11/33,33%,39,60,,,,, 
2012,5,MCF,V,100:00,86,21/31,68%,13/25,52%,13/27,48%,30,95,,,,, 
2012,5,UNI,L,100:00,88,14/22,64%,22/43,51%,10/21,48%,39,99,,,,, 
2012,5,ASS,V,100:00,70,8/14,57%,19/36,53%,8/24,33%,28,63,,,,, 
2012,5,CJB,L,100:00,92,28/32,88%,17/32,53%,10/26,38%,37,119,,,,, 
2012,5,UCM,V,100:00,70,15/18,83%,26/58,45%,1/13,8%,34,42,,,,, 
2012,5,RMB,L,100:00,83,9/10,90%,28/54,52%,6/16,38%,33,97,,,,, 
2012,5,CLA,V,100:00,81,11/12,92%,23/37,62%,8/29,28%,35,80,,,,, 
2012,6,MCF,L,100:00,80,13/17,76%,26/57,46%,5/18,28%,38,78,,,,, 
2012,6,CJB,V,100:00,82,16/18,89%,21/37,57%,8/27,30%,36,88,,,,, 
2012,6,BRV,L,100:00,86,16/21,76%,23/38,61%,8/24,33%,36,89,,,,, 
2012,6,ASE,V,100:00,81,16/21,76%,22/40,55%,7/21,33%,28,90,,,,, 
2012,6,CAJ,L,100:00,73,16/23,70%,18/38,47%,7/21,33%,37,81,,,,, 
2012,6,VBC,V,100:00,82,10/14,71%,24/41,59%,8/24,33%,35,88,,,,, 
2012,6,UBB,L,100:00,82,17/22,77%,22/37,59%,7/23,30%,38,96,,,,, 
2012,6,UNI,V,100:00,65,15/22,68%,16/35,46%,6/22,27%,33,52,,,,, 
