Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_3C,Puntos_4C,Puntos_PR
2000,1,GCA,L,100:00,81,14/19,74%,29/48,60%,3/12,25%,39,86,,,,, 
2000,1,CSF,V,100:00,76,10/17,59%,18/37,49%,10/20,50%,21,85,,,,, 
2000,1,BRE,L,100:00,84,19/26,73%,25/48,52%,5/13,38%,25,79,,,,, 
2000,1,OUR,V,100:00,85,29/35,83%,19/34,56%,6/14,43%,28,88,,,,, 
2000,1,ALI,L,100:00,59,11/16,69%,15/29,52%,6/22,27%,24,56,,,,, 
2000,1,CAC,V,100:00,68,11/16,69%,21/42,50%,5/18,28%,43,72,,,,, 
2000,1,PAM,L,100:00,85,19/28,68%,27/55,49%,4/14,29%,37,107,,,,, 
2000,1,JOV,V,100:00,66,8/13,62%,26/52,50%,2/13,15%,42,59,,,,, 
2000,1,UNI,L,100:00,105,11/16,69%,29/40,73%,12/20,60%,31,133,,,,, 
2000,1,CAN,V,100:00,62,9/18,50%,22/45,49%,3/14,21%,28,48,,,,, 
2000,1,GIR,L,100:00,75,16/25,64%,22/44,50%,5/12,42%,33,76,,,,, 
2000,1,FOR,V,100:00,85,9/20,45%,23/44,52%,10/25,40%,38,88,,,,, 
2000,1,TAU,L,100:00,100,9/14,64%,35/58,60%,7/17,41%,33,102,,,,, 
2000,1,GIJ,V,100:00,77,21/30,70%,22/40,55%,4/11,36%,27,86,,,,, 
2000,1,FUE,L,100:00,75,17/21,81%,17/38,45%,8/32,25%,40,81,,,,, 
2000,1,RMB,V,100:00,78,13/20,65%,19/41,46%,9/15,60%,35,86,,,,, 
2000,1,EST,L,100:00,72,10/14,71%,22/48,46%,6/25,24%,41,59,,,,, 
2000,1,FCB,V,100:00,89,23/32,72%,24/47,51%,6/16,38%,36,106,,,,, 
2000,2,CAN,L,100:00,91,14/20,70%,25/45,56%,9/21,43%,39,104,,,,, 
2000,2,GIR,V,100:00,73,18/25,72%,14/34,41%,9/25,36%,30,69,,,,, 
