Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2001,1,GRA,L,100:00,76,17/26,65%,25/45,56%,3/18,17%,33,76,,,,, 
2001,1,BRE,V,100:00,81,20/31,65%,23/42,55%,5/11,45%,32,80,,,,, 
2001,1,CAN,L,100:00,83,22/28,79%,20/37,54%,7/14,50%,29,95,,,,, 
2001,1,GIJ,V,100:00,74,19/28,68%,17/31,55%,7/22,32%,34,75,,,,, 
2001,1,EST,L,100:00,67,4/10,40%,24/53,45%,5/22,23%,41,60,,,,, 
2001,1,GIR,V,100:00,69,6/15,40%,21/35,60%,7/18,39%,35,69,,,,, 
2001,1,FOR,L,100:00,81,10/20,50%,25/39,64%,7/14,50%,33,104,,,,, 
2001,1,CSF,V,100:00,67,10/13,77%,15/37,41%,9/27,33%,32,48,,,,, 
2001,1,PAM,L,100:00,65,18/28,64%,22/52,42%,1/10,10%,41,73,,,,, 
2001,1,UNI,V,100:00,66,5/11,45%,23/48,48%,5/20,25%,43,55,,,,, 
2001,1,GCA,L,100:00,0,0/0,0%,0/0,0%,0/0,0%,0,0,,,,, 
2001,1,TAU,V,100:00,0,0/0,0%,0/0,0%,0/0,0%,0,0,,,,, 
2001,1,FUE,L,100:00,74,11/19,58%,18/41,44%,9/31,29%,43,68,,,,, 
2001,1,LLE,V,100:00,70,19/23,83%,15/39,38%,7/22,32%,43,73,,,,, 
2001,1,CAC,L,100:00,87,27/36,75%,27/53,51%,2/12,17%,31,83,,,,, 
2001,1,RMB,V,100:00,99,19/22,86%,28/45,62%,8/17,47%,37,114,,,,, 
2001,1,FCB,L,100:00,76,19/24,79%,15/39,38%,9/27,33%,40,69,,,,, 
2001,1,DKV,V,100:00,72,17/28,61%,26/47,55%,1/11,9%,36,71,,,,, 
2001,2,CSF,L,100:00,78,11/19,58%,14/33,42%,13/26,50%,28,70,,,,, 
2001,2,EST,V,100:00,87,28/36,78%,19/43,44%,7/18,39%,44,105,,,,, 
2001,2,DKV,L,100:00,87,11/17,65%,32/57,56%,4/9,44%,35,101,,,,, 
2001,2,PAM,V,100:00,88,12/19,63%,29/53,55%,6/15,40%,33,82,,,,, 
2001,2,GIJ,L,100:00,106,23/27,85%,25/47,53%,11/21,52%,36,101,,,,, 
2001,2,CAC,V,100:00,88,23/32,72%,22/50,44%,7/11,64%,32,80,,,,, 
2001,2,GIR,L,100:00,54,6/11,55%,18/44,41%,4/20,20%,40,40,,,,, 
2001,2,GRA,V,100:00,71,14/20,70%,15/37,41%,9/22,41%,43,72,,,,, 
2001,2,BRE,L,100:00,78,18/25,72%,21/45,47%,6/15,40%,39,81,,,,, 
2001,2,GCA,V,100:00,75,7/14,50%,25/47,53%,6/19,32%,34,73,,,,, 
2001,2,RMB,L,100:00,80,16/26,62%,20/40,50%,8/18,44%,41,96,,,,, 
2001,2,FUE,V,100:00,56,12/22,55%,16/37,43%,4/17,24%,29,31,,,,, 
2001,2,LLE,L,100:00,86,24/34,71%,19/34,56%,8/18,44%,33,87,,,,, 
2001,2,FCB,V,100:00,91,26/33,79%,25/47,53%,5/16,31%,27,88,,,,, 
2001,2,UNI,L,100:00,67,4/8,50%,21/46,46%,7/17,41%,42,81,,,,, 
2001,2,FOR,V,100:00,40,8/14,57%,13/43,30%,2/11,18%,33,24,,,,, 
2001,2,TAU,L,100:00,81,19/22,86%,28/44,64%,2/13,15%,34,101,,,,, 
