Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2018,1,BAR,L,200:00,98,16/26,62%,26/38,68%,10/20,50%,31,120,29,20,22,27, 
2018,1,HGC,V,200:00,78,10/12,83%,25/43,58%,6/30,20%,36,72,17,15,31,15, 
2018,1,MBA,L,200:00,78,16/20,80%,19/40,48%,8/27,30%,39,78,22,21,17,18, 
2018,1,UCM,V,200:00,76,14/21,67%,19/34,56%,8/22,36%,30,85,24,11,23,18, 
2018,1,UNI,L,200:00,86,11/15,73%,18/33,55%,13/23,57%,28,111,19,26,23,18, 
2018,1,VBC,V,200:00,73,6/8,75%,17/33,52%,11/31,35%,29,72,17,17,16,23, 
2018,1,KBA,L,200:00,99,14/21,67%,23/39,59%,13/31,42%,37,132,22,19,32,26, 
2018,1,ZGZ,V,200:00,76,7/12,58%,21/45,47%,9/22,41%,35,67,21,19,17,19, 
2018,1,MOB,L,100:00,91,11/12,92%,19/33,58%,14/36,39%,38,110,,,,, 
2018,1,BUR,V,100:00,81,14/19,74%,23/41,56%,7/19,37%,27,86,,,,, 
2018,1,MOV,L,200:00,77,14/20,70%,18/39,46%,9/25,36%,30,87,19,22,20,16, 
2018,1,BAX,V,200:00,79,4/7,57%,24/35,69%,9/28,32%,37,84,21,15,23,20, 
2018,1,GBC,L,200:00,60,8/16,50%,20/43,47%,4/20,20%,37,64,8,12,17,23, 
2018,1,MKF,V,200:00,76,6/11,55%,23/42,55%,8/31,26%,44,82,14,20,21,21, 
2018,1,RMB,L,200:00,88,15/17,88%,23/45,51%,9/24,38%,41,106,23,17,25,23, 
2018,1,IBT,V,200:00,73,11/14,79%,19/34,56%,8/26,31%,28,74,14,21,20,18, 
2018,1,BRE,L,200:00,69,10/13,77%,19/40,48%,7/21,33%,37,74,28,11,19,11, 
2018,1,JOV,V,200:00,76,9/13,69%,20/36,56%,9/26,35%,35,77,23,18,15,20, 
2018,2,ZGZ,L,200:00,76,18/25,72%,23/43,53%,4/17,24%,34,87,16,19,22,19, 
2018,2,GBC,V,200:00,73,15/20,75%,20/35,57%,6/25,24%,34,72,17,17,25,14, 
2018,2,BUR,L,100:00,82,16/20,80%,18/34,53%,10/25,40%,36,100,,,,, 
2018,2,KBA,V,100:00,79,10/19,53%,21/44,48%,9/26,35%,41,78,,,,, 
2018,2,MKF,L,200:00,79,16/23,70%,18/32,56%,9/26,35%,30,88,21,22,15,21, 
2018,2,UNI,V,200:00,93,11/13,85%,14/32,44%,18/33,55%,38,105,20,25,22,26, 
2018,2,BAX,L,200:00,78,18/20,90%,12/27,44%,12/35,34%,25,78,11,26,22,19, 
2018,2,BAR,V,200:00,88,18/22,82%,23/34,68%,8/20,40%,37,107,21,26,13,28, 
2018,2,HGC,L,100:00,92,14/21,67%,15/38,39%,16/39,41%,39,85,,,,, 
2018,2,MOB,V,100:00,93,22/30,73%,13/27,48%,15/31,48%,37,100,,,,, 
2018,2,IBT,L,200:00,90,8/11,73%,17/28,61%,16/30,53%,30,108,20,14,27,29, 
2018,2,BRE,V,200:00,78,7/12,58%,19/32,59%,11/31,35%,30,75,31,14,13,20, 
2018,2,VBC,L,200:00,70,2/5,40%,19/40,48%,10/25,40%,29,62,26,15,5,24, 
2018,2,RMB,V,200:00,88,5/6,83%,22/40,55%,13/31,42%,40,111,28,17,21,22, 
2018,2,JOV,L,200:00,65,13/14,93%,14/32,44%,8/19,42%,32,62,21,18,14,12, 
2018,2,MBA,V,200:00,75,15/20,75%,24/46,52%,4/25,16%,37,78,19,19,18,19, 
2018,2,UCM,L,200:00,73,17/20,85%,19/40,48%,6/19,32%,36,74,23,20,18,12, 
2018,2,MOV,V,200:00,88,17/26,65%,22/45,49%,9/17,53%,35,98,23,21,24,20, 
2018,3,BUR,L,100:00,79,16/19,84%,18/38,47%,9/31,29%,34,80,,,,, 
2018,3,ZGZ,V,100:00,93,14/15,93%,26/43,60%,9/24,38%,40,112,,,,, 
2018,3,IBT,L,100:00,78,15/20,75%,12/20,60%,13/33,39%,34,96,,,,, 
2018,3,MOB,V,100:00,52,1/2,50%,12/29,41%,9/30,30%,32,32,,,,, 
2018,3,KBA,L,200:00,85,18/29,62%,17/36,47%,11/26,42%,39,116,24,16,28,17, 
2018,3,GBC,V,200:00,66,7/13,54%,16/42,38%,9/23,39%,39,58,11,27,13,15, 
2018,3,MOV,L,200:00,77,5/9,56%,27/49,55%,6/22,27%,40,76,14,19,22,22, 
2018,3,MKF,V,200:00,75,14/18,78%,17/38,45%,9/23,39%,33,77,6,19,28,22, 
2018,3,BAX,L,200:00,66,13/17,76%,19/36,53%,5/28,18%,36,67,8,15,13,30, 
2018,3,JOV,V,200:00,67,9/12,75%,14/40,35%,10/18,56%,37,78,12,25,14,16, 
2018,3,HGC,L,200:00,96,21/33,64%,27/43,63%,7/23,30%,37,114,27,28,20,21, 
