Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_3C,Puntos_4C,Puntos_PR
2005,1,GRA,L,100:00,72,9/14,64%,27/47,57%,3/15,20%,30,62,,,,, 
2005,1,DKV,V,100:00,82,20/23,87%,22/46,48%,6/18,33%,40,94,,,,, 
2005,1,AGF,L,100:00,71,9/11,82%,19/36,53%,8/26,31%,34,64,,,,, 
2005,1,ALI,V,100:00,82,12/20,60%,23/42,55%,8/24,33%,35,87,,,,, 
2005,1,FOR,L,100:00,66,11/15,73%,23/49,47%,3/14,21%,38,71,,,,, 
2005,1,FCB,V,100:00,73,7/11,64%,18/31,58%,10/26,38%,28,82,,,,, 
2005,1,GCA,L,100:00,85,13/18,72%,18/35,51%,12/21,57%,34,99,,,,, 
2005,1,LBB,V,100:00,64,19/22,86%,18/42,43%,3/12,25%,27,50,,,,, 
2005,1,CSF,L,100:00,106,11/18,61%,28/41,68%,13/24,54%,29,119,,,,, 
2005,1,MEN,V,100:00,102,15/19,79%,21/38,55%,15/32,47%,32,107,,,,, 
2005,1,EST,L,100:00,75,7/10,70%,22/47,47%,8/23,35%,37,73,,,,, 
2005,1,TAU,V,100:00,81,13/15,87%,22/45,49%,8/20,40%,35,87,,,,, 
2005,1,Pam,L,100:00,74,14/14,100%,21/40,53%,6/20,30%,31,96,,,,, 
2005,1,BRE,V,100:00,62,12/17,71%,16/42,38%,6/11,55%,34,46,,,,, 
2005,1,MAN,L,100:00,85,18/25,72%,20/41,49%,9/21,43%,32,83,,,,, 
2005,1,UNI,V,100:00,76,15/21,71%,20/37,54%,7/23,30%,32,75,,,,, 
2005,1,GIR,L,100:00,78,17/20,85%,17/37,46%,9/22,41%,30,81,,,,, 
2005,1,RMB,V,100:00,74,16/20,80%,20/42,48%,6/17,35%,38,79,,,,, 
2005,2,RMB,L,100:00,70,14/20,70%,19/45,42%,6/23,26%,39,73,,,,, 
2005,2,FOR,V,100:00,67,16/21,76%,15/34,44%,7/21,33%,37,68,,,,, 
2005,2,ALI,L,100:00,91,22/28,79%,27/45,60%,5/12,42%,25,113,,,,, 
2005,2,CSF,V,100:00,80,9/17,53%,22/35,63%,9/18,50%,27,60,,,,, 
2005,2,LBB,L,100:00,89,29/37,78%,21/36,58%,6/17,35%,23,90,,,,, 
2005,2,GRA,V,100:00,98,22/27,81%,23/41,56%,10/19,53%,29,105,,,,, 
2005,2,TAU,L,100:00,90,9/10,90%,36/53,68%,3/13,23%,38,118,,,,, 
2005,2,GIR,V,100:00,68,8/10,80%,21/46,46%,6/16,38%,25,58,,,,, 
2005,2,BRE,L,100:00,81,20/27,74%,17/33,52%,9/15,60%,32,85,,,,, 
2005,2,EST,V,100:00,73,11/19,58%,22/40,55%,6/22,27%,26,69,,,,, 
2005,2,MEN,L,100:00,68,13/22,59%,17/29,59%,7/20,35%,21,64,,,,, 
2005,2,GCA,V,100:00,75,13/16,81%,25/40,63%,4/20,20%,35,78,,,,, 
2005,2,UNI,L,100:00,65,14/18,78%,21/43,49%,3/22,14%,35,71,,,,, 
2005,2,Pam,V,100:00,67,10/15,67%,18/38,47%,7/14,50%,34,63,,,,, 
2005,2,FCB,L,100:00,77,6/10,60%,22/31,71%,9/28,32%,47,107,,,,, 
2005,2,AGF,V,100:00,54,5/11,45%,14/40,35%,7/20,35%,24,37,,,,, 
2005,2,DKV,L,100:00,89,10/14,71%,20/37,54%,13/24,54%,35,111,,,,, 
2005,2,MAN,V,100:00,68,21/27,78%,16/32,50%,5/23,22%,29,64,,,,, 
2005,3,CSF,L,100:00,74,11/13,85%,27/40,68%,3/16,19%,34,72,,,,, 
2005,3,LBB,V,100:00,81,11/13,85%,20/42,48%,10/17,59%,19,85,,,,, 
2005,3,MEN,L,100:00,71,15/25,60%,16/40,40%,8/21,38%,30,55,,,,, 
2005,3,RMB,V,100:00,84,12/17,71%,15/34,44%,14/28,50%,39,87,,,,, 
2005,3,UNI,L,100:00,92,8/15,53%,27/38,71%,10/21,48%,30,115,,,,, 
2005,3,ALI,V,100:00,60,8/10,80%,23/48,48%,2/11,18%,29,47,,,,, 
2005,3,FCB,L,100:00,100,13/16,81%,24/35,69%,13/30,43%,36,134,,,,, 
2005,3,EST,V,100:00,66,9/15,60%,24/54,44%,3/12,25%,30,52,,,,, 
2005,3,AGF,L,100:00,82,25/30,83%,15/32,47%,9/21,43%,31,83,,,,, 
2005,3,FOR,V,100:00,72,15/24,63%,18/44,41%,7/23,30%,39,58,,,,, 
2005,3,DKV,L,100:00,78,9/12,75%,24/44,55%,7/23,30%,33,77,,,,, 
2005,3,TAU,V,100:00,83,18/21,86%,25/47,53%,5/15,33%,36,100,,,,, 
2005,3,MAN,L,100:00,77,24/31,77%,19/43,44%,5/19,26%,40,79,,,,, 
2005,3,Pam,V,100:00,78,17/27,63%,17/37,46%,9/21,43%,36,69,,,,, 
2005,3,GRA,L,100:00,79,22/29,76%,15/35,43%,9/23,39%,29,78,,,,, 
2005,3,BRE,V,100:00,81,20/33,61%,23/40,58%,5/9,56%,34,82,,,,, 
2005,3,GIR,L,100:00,91,19/28,68%,30/47,64%,4/12,33%,33,108,,,,, 
2005,3,GCA,V,100:00,80,11/21,52%,21/45,47%,9/16,56%,30,77,,,,, 
2005,4,TAU,L,100:00,80,21/29,72%,19/36,53%,7/17,41%,35,94,,,,, 
2005,4,RMB,V,100:00,57,7/14,50%,25/52,48%,0/14,0%,39,47,,,,, 
2005,4,LBB,L,100:00,73,14/18,78%,22/41,54%,5/16,31%,35,82,,,,, 
2005,4,UNI,V,100:00,61,12/17,71%,20/39,51%,3/15,20%,32,60,,,,, 
2005,4,BRE,L,100:00,77,12/16,75%,22/46,48%,7/17,41%,30,76,,,,, 
2005,4,CSF,V,100:00,70,16/20,80%,18/34,53%,6/22,27%,35,78,,,,, 
2005,4,FOR,L,100:00,85,11/14,79%,19/47,40%,12/28,43%,36,83,,,,, 
2005,4,MAN,V,100:00,89,20/26,77%,24/42,57%,7/22,32%,39,103,,,,, 
2005,4,GCA,L,100:00,66,15/26,58%,12/35,34%,9/21,43%,36,59,,,,, 
2005,4,DKV,V,100:00,77,13/17,76%,20/41,49%,8/18,44%,34,82,,,,, 
2005,4,ALI,L,100:00,61,15/17,88%,20/45,44%,2/15,13%,29,48,,,,, 
2005,4,FCB,V,100:00,85,4/6,67%,27/44,61%,9/15,60%,28,93,,,,, 
2005,4,EST,L,100:00,88,20/29,69%,28/57,49%,4/21,19%,54,87,,,,, 
2005,4,GIR,V,100:00,96,23/33,70%,14/38,37%,15/26,58%,35,110,,,,, 
2005,4,AGF,L,100:00,71,17/24,71%,18/33,55%,6/19,32%,29,78,,,,, 
2005,4,MEN,V,100:00,67,17/22,77%,13/27,48%,8/27,30%,28,59,,,,, 
2005,4,Pam,L,100:00,80,24/36,67%,19/36,53%,6/24,25%,39,84,,,,, 
2005,4,GRA,V,100:00,81,16/19,84%,22/39,56%,7/18,39%,32,84,,,,, 
2005,5,GCA,L,100:00,56,12/17,71%,16/33,48%,4/25,16%,35,53,,,,, 
2005,5,AGF,V,100:00,60,13/21,62%,16/39,41%,5/15,33%,40,63,,,,, 
2005,5,CSF,L,100:00,61,5/6,83%,19/53,36%,6/19,32%,38,43,,,,, 
2005,5,UNI,V,100:00,76,12/15,80%,23/35,66%,6/25,24%,38,95,,,,, 
2005,5,TAU,L,100:00,92,20/34,59%,27/44,61%,6/18,33%,30,104,,,,, 
2005,5,BRE,V,100:00,79,21/27,78%,20/39,51%,6/16,38%,31,65,,,,, 
2005,5,DKV,L,100:00,90,19/25,76%,16/30,53%,13/26,50%,31,105,,,,, 
2005,5,FOR,V,100:00,76,24/33,73%,20/44,45%,4/16,25%,35,61,,,,, 
2005,5,FCB,L,100:00,86,12/16,75%,22/40,55%,10/24,42%,27,91,,,,, 
2005,5,Pam,V,100:00,76,12/17,71%,23/42,55%,6/15,40%,33,75,,,,, 
2005,5,MEN,L,100:00,69,20/27,74%,17/29,59%,5/18,28%,29,65,,,,, 
2005,5,ALI,V,100:00,63,16/23,70%,10/29,34%,9/28,32%,36,59,,,,, 
2005,5,RMB,L,100:00,89,9/13,69%,25/40,63%,10/21,48%,30,99,,,,, 
2005,5,LBB,V,100:00,48,21/25,84%,12/26,46%,1/12,8%,20,35,,,,, 
2005,5,MAN,L,100:00,106,23/29,79%,22/41,54%,13/24,54%,36,132,,,,, 
2005,5,EST,V,100:00,82,9/19,47%,23/38,61%,9/21,43%,27,73,,,,, 
2005,5,GRA,L,100:00,63,16/20,80%,19/45,42%,3/19,16%,34,56,,,,, 
2005,5,GIR,V,100:00,97,11/11,100%,25/40,63%,12/23,52%,32,126,,,,, 
2005,6,EST,L,100:00,93,20/21,95%,23/42,55%,9/27,33%,34,111,,,,, 
2005,6,DKV,V,100:00,82,14/18,78%,19/36,53%,10/29,34%,39,75,,,,, 
2005,6,AGF,L,100:00,81,15/22,68%,21/48,44%,8/24,33%,38,70,,,,, 
2005,6,CSF,V,100:00,97,24/29,83%,26/39,67%,7/18,39%,31,124,,,,, 
2005,6,FOR,L,100:00,73,14/17,82%,22/43,51%,5/20,25%,30,68,,,,, 
2005,6,GRA,V,100:00,74,19/22,86%,20/40,50%,5/15,33%,30,71,,,,, 
2005,6,Pam,L,100:00,73,9/13,69%,23/54,43%,6/21,29%,38,73,,,,, 
2005,6,GCA,V,100:00,86,21/26,81%,19/36,53%,9/22,41%,40,109,,,,, 
2005,6,BRE,L,100:00,95,22/27,81%,23/51,45%,9/19,47%,37,85,,,,, 
2005,6,FCB,V,100:00,96,32/37,86%,20/33,61%,8/20,40%,28,109,,,,, 
2005,6,LBB,L,100:00,86,10/13,77%,26/44,59%,8/20,40%,40,102,,,,, 
2005,6,MEN,V,100:00,61,9/11,82%,20/40,50%,4/14,29%,20,45,,,,, 
2005,6,ALI,L,100:00,77,28/38,74%,14/32,44%,7/21,33%,35,86,,,,, 
2005,6,RMB,V,100:00,73,16/22,73%,18/34,53%,7/17,41%,27,63,,,,, 
2005,6,GIR,L,100:00,81,10/15,67%,25/43,58%,7/17,41%,33,96,,,,, 
2005,6,MAN,V,100:00,77,20/26,77%,21/40,53%,5/20,25%,35,71,,,,, 
