Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2020,1,HGC,L,225:00,107,18/25,72%,22/37,59%,15/33,45%,32,114,25,28,30,15,9
2020,1,RBB,V,225:00,102,20/26,77%,23/41,56%,12/30,40%,36,102,19,24,34,21,4
2020,1,GBC,L,200:00,70,7/9,78%,18/36,50%,9/33,27%,36,66,21,20,12,17, 
2020,1,RMB,V,200:00,86,7/11,64%,23/41,56%,11/27,41%,35,102,25,16,25,20, 
2020,1,MOV,L,200:00,84,15/23,65%,18/35,51%,11/30,37%,32,79,18,19,25,22, 
2020,1,BAX,V,200:00,88,25/37,68%,18/36,50%,9/21,43%,40,96,25,15,21,27, 
2020,1,MBA,L,200:00,84,10/16,63%,22/33,67%,10/30,33%,43,100,23,32,17,12, 
2020,1,UCM,V,200:00,66,10/14,71%,19/49,39%,6/23,26%,36,56,10,21,14,21, 
2020,1,TDS,L,200:00,76,11/12,92%,19/39,49%,9/27,33%,28,84,25,19,14,18, 
2020,1,VBC,V,200:00,73,9/11,82%,14/25,56%,12/28,43%,35,85,16,19,20,18, 
2020,1,BAR,L,200:00,89,19/25,76%,17/42,40%,12/20,60%,42,102,18,27,26,18, 
2020,1,BUR,V,200:00,86,18/22,82%,22/29,76%,8/29,28%,22,97,23,21,22,20, 
2020,1,MOB,L,200:00,101,17/21,81%,18/29,62%,16/34,47%,35,122,22,28,19,32, 
2020,1,URF,V,200:00,82,14/18,78%,28/48,58%,4/15,27%,28,78,26,20,23,13, 
2020,1,LNT,L,225:00,91,19/21,90%,21/38,55%,10/33,30%,41,95,17,22,21,17,14
2020,1,CAZ,V,225:00,86,20/24,83%,18/33,55%,10/31,32%,32,82,12,17,25,23,9
2020,1,CJB,L,200:00,81,18/23,78%,21/40,53%,7/25,28%,47,99,15,22,21,23, 
2020,1,UNI,V,200:00,73,13/16,81%,21/42,50%,6/18,33%,24,73,22,17,12,22, 
2020,2,RBB,L,200:00,70,15/16,94%,17/35,49%,7/23,30%,34,72,17,8,16,29, 
2020,2,LNT,V,200:00,81,18/22,82%,18/34,53%,9/26,35%,30,94,22,16,18,25, 
2020,2,BAX,L,200:00,76,12/19,63%,26/41,63%,4/23,17%,30,87,15,24,17,20, 
2020,2,MOB,V,200:00,80,12/15,80%,25/42,60%,6/18,33%,35,78,21,20,19,20, 
2020,2,UCM,L,200:00,93,11/17,65%,26/51,51%,10/27,37%,42,108,24,15,31,23, 
2020,2,MOV,V,200:00,80,21/25,84%,13/29,45%,11/29,38%,34,71,15,21,21,23, 
2020,2,UNI,L,200:00,70,11/13,85%,19/43,44%,7/22,32%,37,71,21,17,11,21, 
