Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2014,1,SEV,L,100:00,87,13/19,68%,25/48,52%,8/18,44%,32,81,,,,, 
2014,1,IBT,V,100:00,96,18/30,60%,27/43,63%,8/20,40%,36,119,,,,, 
2014,1,MOB,L,100:00,88,21/22,95%,17/30,57%,11/21,52%,30,106,,,,, 
2014,1,MAN,V,100:00,64,18/24,75%,17/41,41%,4/15,27%,29,50,,,,, 
2014,1,BAR,L,100:00,87,9/12,75%,24/41,59%,10/13,77%,35,104,,,,, 
2014,1,BAS,V,100:00,65,8/12,67%,27/56,48%,1/10,10%,27,64,,,,, 
2014,1,RBB,L,100:00,73,18/23,78%,17/34,50%,7/25,28%,38,86,,,,, 
2014,1,MKF,V,100:00,54,16/23,70%,16/38,42%,2/22,9%,41,43,,,,, 
2014,1,UCM,L,100:00,85,16/21,76%,27/42,64%,5/14,36%,27,99,,,,, 
2014,1,VBC,V,100:00,76,11/17,65%,19/35,54%,9/20,45%,27,65,,,,, 
2014,1,RMB,L,100:00,70,13/17,76%,21/49,43%,5/18,28%,44,84,,,,, 
2014,1,HGC,V,100:00,57,6/7,86%,21/45,47%,3/19,16%,36,61,,,,, 
2014,1,UNI,L,100:00,83,8/10,80%,27/45,60%,7/20,35%,31,96,,,,, 
2014,1,MBA,V,100:00,69,7/9,78%,13/37,35%,12/29,41%,40,71,,,,, 
2014,1,ZGZ,L,100:00,74,26/28,93%,18/37,49%,4/15,27%,35,89,,,,, 
2014,1,JOV,V,100:00,79,11/17,65%,19/36,53%,10/34,29%,35,74,,,,, 
2014,1,MOV,L,100:00,91,5/10,50%,31/47,66%,8/17,47%,25,113,,,,, 
2014,1,GBC,V,100:00,74,7/10,70%,14/34,41%,13/23,57%,32,71,,,,, 
2014,2,VBC,L,100:00,96,16/19,84%,22/47,47%,12/26,46%,38,120,,,,, 
2014,2,SEV,V,100:00,73,13/17,76%,18/41,44%,8/15,53%,32,61,,,,, 
2014,2,MKF,L,100:00,66,16/20,80%,19/39,49%,4/19,21%,37,62,,,,, 
2014,2,UCM,V,100:00,71,20/23,87%,18/39,46%,5/29,17%,39,76,,,,, 
2014,2,BAS,L,100:00,79,8/10,80%,19/37,51%,11/27,41%,21,65,,,,, 
2014,2,UNI,V,100:00,88,20/31,65%,19/32,59%,10/24,42%,39,106,,,,, 
2014,2,MBA,L,100:00,75,8/17,47%,23/56,41%,7/18,39%,42,86,,,,, 
2014,2,RBB,V,100:00,76,13/19,68%,21/39,54%,7/28,25%,44,74,,,,, 
2014,2,JOV,L,100:00,65,8/11,73%,15/27,56%,9/32,28%,36,86,,,,, 
2014,2,MOV,V,100:00,60,6/12,50%,18/46,39%,6/20,30%,42,56,,,,, 
