Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2004,1,LLE,L,100:00,95,16/27,59%,29/51,57%,7/11,64%,28,99,,,,, 
2004,1,DKV,V,100:00,97,18/25,72%,29/52,56%,7/16,44%,36,104,,,,, 
2004,1,ALI,L,100:00,76,24/29,83%,20/36,56%,4/18,22%,34,90,,,,, 
2004,1,GRA,V,100:00,67,10/15,67%,15/38,39%,9/19,47%,32,57,,,,, 
2004,1,FCB,L,100:00,96,18/21,86%,27/49,55%,8/11,73%,27,110,,,,, 
2004,1,BRE,V,100:00,88,13/16,81%,24/47,51%,9/26,35%,37,79,,,,, 
2004,1,CSF,L,100:00,67,9/13,69%,23/46,50%,4/17,24%,33,57,,,,, 
2004,1,UNI,V,100:00,73,20/33,61%,16/32,50%,7/17,41%,32,76,,,,, 
2004,1,PAM,L,100:00,92,20/24,83%,21/45,47%,10/23,43%,35,106,,,,, 
2004,1,GCA,V,100:00,88,18/30,60%,26/46,57%,6/18,33%,37,83,,,,, 
2004,1,RMB,L,100:00,77,14/16,88%,15/33,45%,11/26,42%,32,80,,,,, 
2004,1,EST,V,100:00,68,13/24,54%,23/45,51%,3/21,14%,40,73,,,,, 
2004,1,LBB,L,100:00,57,13/18,72%,19/49,39%,2/14,14%,33,38,,,,, 
2004,1,TAU,V,100:00,104,17/20,85%,27/42,64%,11/23,48%,32,122,,,,, 
2004,1,GIR,L,100:00,77,16/24,67%,17/39,44%,9/26,35%,30,63,,,,, 
2004,1,FOR,V,100:00,83,23/31,74%,21/37,57%,6/17,35%,41,100,,,,, 
2004,1,MAN,L,100:00,86,15/19,79%,22/40,55%,9/17,53%,32,109,,,,, 
2004,1,TEN,V,100:00,71,14/17,82%,18/42,43%,7/17,41%,27,56,,,,, 
2004,2,EST,L,100:00,68,13/26,50%,17/35,49%,7/23,30%,32,66,,,,, 
2004,2,ALI,V,100:00,85,15/18,83%,23/45,51%,8/20,40%,39,91,,,,, 
2004,2,TAU,L,100:00,103,28/38,74%,24/45,53%,9/17,53%,26,107,,,,, 
2004,2,PAM,V,100:00,100,12/18,67%,29/50,58%,10/19,53%,34,97,,,,, 
2004,2,DKV,L,100:00,76,6/12,50%,23/51,45%,8/25,32%,44,74,,,,, 
2004,2,LBB,V,100:00,84,19/28,68%,25/41,61%,5/13,38%,30,101,,,,, 
2004,2,BRE,L,100:00,96,19/23,83%,25/39,64%,9/25,36%,28,103,,,,, 
2004,2,CSF,V,100:00,102,22/27,81%,25/43,58%,10/16,63%,26,107,,,,, 
2004,2,UNI,L,100:00,80,8/10,80%,24/46,52%,8/26,31%,40,70,,,,, 
2004,2,LLE,V,100:00,85,21/34,62%,23/44,52%,6/16,38%,36,99,,,,, 
2004,2,FOR,L,100:00,73,11/16,69%,19/52,37%,8/20,40%,39,56,,,,, 
2004,2,FCB,V,100:00,80,15/17,88%,22/37,59%,7/19,37%,34,106,,,,, 
2004,2,GRA,L,100:00,105,33/40,83%,24/45,53%,8/23,35%,31,116,,,,, 
2004,2,GIR,V,100:00,96,25/35,71%,28/56,50%,5/16,31%,45,84,,,,, 
2004,2,TEN,L,100:00,68,14/17,82%,15/36,42%,8/20,40%,27,54,,,,, 
2004,2,RMB,V,100:00,76,16/24,67%,21/46,46%,6/19,32%,44,83,,,,, 
2004,2,GCA,L,100:00,73,12/23,52%,23/43,53%,5/16,31%,31,79,,,,, 
2004,2,MAN,V,100:00,68,20/29,69%,12/30,40%,8/18,44%,32,70,,,,, 
2004,3,GIR,L,100:00,74,15/24,63%,22/44,50%,5/16,31%,33,72,,,,, 
2004,3,DKV,V,100:00,78,11/19,58%,26/44,59%,5/19,26%,40,84,,,,, 
2004,3,LLE,L,100:00,81,19/27,70%,22/53,42%,6/23,26%,46,81,,,,, 
2004,3,CSF,V,100:00,88,17/24,71%,22/41,54%,9/23,39%,41,87,,,,, 
2004,3,ALI,L,100:00,66,13/18,72%,22/48,46%,3/12,25%,32,66,,,,, 
2004,3,UNI,V,100:00,64,16/22,73%,15/27,56%,6/19,32%,32,73,,,,, 
2004,3,FCB,L,100:00,76,7/12,58%,30/48,63%,3/14,21%,46,100,,,,, 
2004,3,GRA,V,100:00,64,8/12,67%,19/52,37%,6/20,30%,32,46,,,,, 
2004,3,TEN,L,100:00,63,16/17,94%,16/42,38%,5/21,24%,34,41,,,,, 
2004,3,GCA,V,100:00,93,23/30,77%,26/50,52%,6/13,46%,37,117,,,,, 
2004,3,RMB,L,100:00,86,11/14,79%,21/43,49%,11/16,69%,35,102,,,,, 
2004,3,FOR,V,100:00,62,18/23,78%,13/35,37%,6/20,30%,27,50,,,,, 
2004,3,PAM,L,100:00,64,16/22,73%,12/29,41%,8/27,30%,25,46,,,,, 
2004,3,EST,V,100:00,101,21/26,81%,25/42,60%,10/18,56%,36,125,,,,, 
2004,3,LBB,L,100:00,76,25/31,81%,24/41,59%,1/14,7%,28,74,,,,, 
2004,3,BRE,V,100:00,82,14/19,74%,22/39,56%,8/23,35%,31,73,,,,, 
2004,3,MAN,L,100:00,72,26/28,93%,17/42,40%,4/20,20%,35,61,,,,, 
2004,3,TAU,V,100:00,90,14/22,64%,35/55,64%,2/9,22%,34,105,,,,, 
2004,4,UNI,L,100:00,79,9/13,69%,20/40,50%,10/25,40%,28,80,,,,, 
2004,4,GIR,V,100:00,87,11/15,73%,26/42,62%,8/16,50%,31,90,,,,, 
2004,4,FOR,L,100:00,91,25/29,86%,24/45,53%,6/15,40%,39,96,,,,, 
2004,4,MAN,V,100:00,84,29/32,91%,20/39,51%,5/17,29%,24,90,,,,, 
2004,4,BRE,L,100:00,72,11/14,79%,23/49,47%,5/24,21%,42,53,,,,, 
2004,4,LLE,V,100:00,80,21/30,70%,19/47,40%,7/14,50%,34,93,,,,, 
2004,4,TAU,L,100:00,78,12/17,71%,27/52,52%,4/12,33%,36,104,,,,, 
2004,4,TEN,V,100:00,67,6/6,100%,20/49,41%,7/19,37%,41,59,,,,, 
2004,4,CSF,L,100:00,81,13/18,72%,22/45,49%,8/23,35%,35,68,,,,, 
2004,4,ALI,V,100:00,109,30/40,75%,29/46,63%,7/16,44%,33,135,,,,, 
2004,4,DKV,L,100:00,78,13/20,65%,25/43,58%,5/22,23%,37,79,,,,, 
2004,4,PAM,V,100:00,85,16/23,70%,21/41,51%,9/18,50%,31,98,,,,, 
2004,4,GCA,L,100:00,54,15/20,75%,12/30,40%,5/25,20%,36,46,,,,, 
2004,4,RMB,V,100:00,79,8/16,50%,25/49,51%,7/18,39%,41,90,,,,, 
2004,4,EST,L,100:00,66,20/26,77%,20/47,43%,2/20,10%,43,70,,,,, 
2004,4,FCB,V,100:00,67,8/10,80%,19/43,44%,7/21,33%,40,56,,,,, 
2004,4,GRA,L,100:00,78,15/20,75%,18/45,40%,9/19,47%,24,74,,,,, 
2004,4,LBB,V,100:00,77,14/18,78%,24/42,57%,5/15,33%,35,78,,,,, 
2004,5,GCA,L,100:00,64,18/29,62%,14/28,50%,6/25,24%,32,63,,,,, 
2004,5,TAU,V,100:00,67,7/10,70%,21/53,40%,6/16,38%,43,63,,,,, 
2004,5,PAM,L,100:00,91,16/24,67%,24/37,65%,9/19,47%,36,111,,,,, 
2004,5,BRE,V,100:00,72,24/33,73%,18/45,40%,4/14,29%,29,58,,,,, 
2004,5,TEN,L,100:00,78,15/22,68%,15/37,41%,11/26,42%,39,85,,,,, 
2004,5,FOR,V,100:00,75,16/25,64%,25/41,61%,3/22,14%,42,76,,,,, 
2004,5,ALI,L,100:00,90,19/24,79%,22/42,52%,9/24,38%,39,98,,,,, 
2004,5,LLE,V,100:00,83,23/35,66%,24/44,55%,4/19,21%,35,76,,,,, 
2004,5,FCB,L,100:00,87,16/22,73%,28/51,55%,5/10,50%,30,90,,,,, 
2004,5,UNI,V,100:00,85,14/20,70%,16/35,46%,13/25,52%,33,89,,,,, 
2004,5,RMB,L,100:00,92,20/25,80%,21/40,53%,10/19,53%,39,118,,,,, 
2004,5,GRA,V,100:00,73,19/29,66%,12/32,38%,10/20,50%,25,55,,,,, 
2004,5,LBB,L,100:00,86,14/18,78%,12/31,39%,16/30,53%,28,88,,,,, 
2004,5,EST,V,100:00,84,12/19,63%,24/40,60%,8/16,50%,25,73,,,,, 
2004,5,MAN,L,100:00,79,19/23,83%,21/30,70%,6/24,25%,33,97,,,,, 
2004,5,DKV,V,100:00,69,13/18,72%,22/45,49%,4/16,25%,30,59,,,,, 
2004,5,GIR,L,100:00,100,20/27,74%,31/41,76%,6/20,30%,36,132,,,,, 
2004,5,CSF,V,100:00,82,13/15,87%,24/48,50%,7/20,35%,28,67,,,,, 
2004,6,TAU,L,100:00,92,18/26,69%,19/43,44%,12/21,57%,27,92,,,,, 
2004,6,RMB,V,100:00,106,24/34,71%,29/52,56%,8/16,50%,42,115,,,,, 
2004,6,EST,L,100:00,88,22/26,85%,24/47,51%,6/18,33%,43,120,,,,, 
2004,6,MAN,V,100:00,69,8/14,57%,14/35,40%,11/25,44%,30,55,,,,, 
2004,6,BRE,L,100:00,77,20/26,77%,21/42,50%,5/20,25%,36,78,,,,, 
2004,6,ALI,V,100:00,82,19/21,90%,18/39,46%,9/17,53%,30,81,,,,, 
2004,6,DKV,L,100:00,90,10/15,67%,25/47,53%,10/23,43%,42,107,,,,, 
2004,6,TEN,V,100:00,65,7/13,54%,17/36,47%,8/21,38%,28,53,,,,, 
2004,6,UNI,L,100:00,86,9/14,64%,22/38,58%,11/24,46%,33,85,,,,, 
2004,6,LBB,V,100:00,69,23/30,77%,14/34,41%,6/19,32%,26,69,,,,, 
2004,6,FOR,L,100:00,64,24/29,83%,11/37,30%,6/17,35%,34,51,,,,, 
2004,6,GCA,V,100:00,79,19/27,70%,15/39,38%,10/21,48%,40,73,,,,, 
2004,6,LLE,L,100:00,69,6/12,50%,27/66,41%,3/17,18%,51,64,,,,, 
2004,6,GIR,V,100:00,79,16/23,70%,21/41,51%,7/22,32%,42,83,,,,, 
2004,6,CSF,L,100:00,71,14/17,82%,12/30,40%,11/27,41%,27,67,,,,, 
2004,6,FCB,V,100:00,75,8/10,80%,17/41,41%,11/17,65%,36,82,,,,, 
2004,6,GRA,L,100:00,81,17/25,68%,23/44,52%,6/21,29%,25,75,,,,, 
2004,6,PAM,V,100:00,86,22/26,85%,17/33,52%,10/15,67%,35,101,,,,, 
2004,7,FOR,L,100:00,96,17/22,77%,20/41,49%,13/21,62%,31,108,,,,, 
2004,7,TAU,V,100:00,87,18/23,78%,27/49,55%,5/15,33%,32,97,,,,, 
2004,7,ALI,L,100:00,84,23/28,82%,23/46,50%,5/22,23%,39,91,,,,, 
2004,7,GIR,V,100:00,75,14/20,70%,17/40,43%,9/21,43%,35,62,,,,, 
