Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2007,1,AGF,L,100:00,73,11/13,85%,22/38,58%,6/16,38%,37,73,,,,, 
2007,1,DKV,V,100:00,97,19/24,79%,21/43,49%,12/27,44%,25,99,,,,, 
2007,1,RMB,L,100:00,68,19/23,83%,17/32,53%,5/20,25%,30,72,,,,, 
2007,1,PAM,V,100:00,61,5/6,83%,19/31,61%,6/25,24%,31,58,,,,, 
2007,1,LEO,L,100:00,64,12/16,75%,17/38,45%,6/19,32%,27,54,,,,, 
2007,1,GRA,V,100:00,74,10/11,91%,23/37,62%,6/15,40%,25,74,,,,, 
2007,1,MMT,L,100:00,69,27/32,84%,12/30,40%,6/21,29%,27,82,,,,, 
2007,1,UNI,V,100:00,64,9/12,75%,17/29,59%,7/28,25%,35,53,,,,, 
2007,1,GIR,L,100:00,78,18/23,78%,21/41,51%,6/19,32%,35,95,,,,, 
2007,1,TAU,V,100:00,76,9/11,82%,20/46,43%,9/26,35%,41,66,,,,, 
2007,1,MUR,L,100:00,68,11/17,65%,18/38,47%,7/14,50%,25,67,,,,, 
2007,1,IBB,V,100:00,67,21/29,72%,14/35,40%,6/18,33%,33,65,,,,, 
2007,1,GCV,L,100:00,77,17/24,71%,24/41,59%,4/11,36%,22,69,,,,, 
2007,1,FCB,V,100:00,86,13/16,81%,20/31,65%,11/30,37%,32,90,,,,, 
2007,1,MAN,L,100:00,87,17/23,74%,23/36,64%,8/18,44%,33,93,,,,, 
2007,1,MEN,V,100:00,79,23/30,77%,13/30,43%,10/25,40%,20,80,,,,, 
2007,1,GCA,L,100:00,68,14/21,67%,21/38,55%,4/16,25%,24,67,,,,, 
2007,1,CAJ,V,100:00,61,7/12,58%,18/34,53%,6/21,29%,33,51,,,,, 
2007,2,MEN,L,100:00,81,24/30,80%,24/38,63%,3/14,21%,24,73,,,,, 
2007,2,GIR,V,100:00,99,23/29,79%,26/39,67%,8/20,40%,30,109,,,,, 
2007,2,UNI,L,100:00,84,21/25,84%,18/26,69%,9/24,38%,28,116,,,,, 
2007,2,LEO,V,100:00,60,11/15,73%,17/44,39%,5/16,31%,31,36,,,,, 
2007,2,IBB,L,100:00,80,13/16,81%,23/38,61%,7/16,44%,39,83,,,,, 
2007,2,GCA,V,100:00,74,23/29,79%,12/34,35%,9/23,39%,25,73,,,,, 
2007,2,FCB,L,100:00,81,10/14,71%,19/29,66%,11/27,41%,30,101,,,,, 
2007,2,MMT,V,100:00,64,16/17,94%,12/35,34%,8/19,42%,26,53,,,,, 
2007,2,PAM,L,100:00,88,13/25,52%,18/30,60%,13/30,43%,33,88,,,,, 
2007,2,MAN,V,100:00,80,17/23,74%,21/39,54%,7/18,39%,28,86,,,,, 
2007,2,CAJ,L,100:00,81,6/9,67%,21/41,51%,11/22,50%,24,82,,,,, 
