Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2002,1,FOR,L,100:00,89,12/14,86%,25/44,57%,9/22,41%,37,93,,,,, 
2002,1,GRA,V,100:00,71,15/18,83%,16/35,46%,8/25,32%,29,64,,,,, 
2002,1,GCA,L,100:00,82,14/28,50%,22/47,47%,8/21,38%,45,86,,,,, 
2002,1,MAN,V,100:00,57,11/20,55%,17/41,41%,4/18,22%,34,41,,,,, 
2002,1,BRE,L,100:00,78,19/28,68%,22/45,49%,5/12,42%,33,82,,,,, 
2002,1,UNI,V,100:00,79,13/19,68%,21/49,43%,8/20,40%,35,61,,,,, 
2002,1,DKV,L,100:00,73,13/14,93%,21/39,54%,6/19,32%,34,80,,,,, 
2002,1,TAU,V,100:00,74,13/19,68%,20/45,44%,7/21,33%,31,75,,,,, 
2002,1,ALI,L,100:00,60,12/17,71%,15/33,45%,6/23,26%,38,57,,,,, 
2002,1,EST,V,100:00,67,19/29,66%,15/39,38%,6/23,26%,46,82,,,,, 
2002,1,RMB,L,100:00,91,15/18,83%,23/35,66%,10/22,45%,43,115,,,,, 
2002,1,CAC,V,100:00,58,10/15,67%,21/49,43%,2/13,15%,23,36,,,,, 
2002,1,LLE,L,100:00,80,30/41,73%,22/44,50%,2/14,14%,43,90,,,,, 
2002,1,GIR,V,100:00,75,13/17,76%,19/43,44%,8/18,44%,27,56,,,,, 
2002,1,PAM,L,100:00,81,7/14,50%,34/48,71%,2/13,15%,26,88,,,,, 
2002,1,CSF,V,100:00,69,19/25,76%,19/36,53%,4/15,27%,30,65,,,,, 
2002,1,FCB,L,100:00,93,18/30,60%,30/56,54%,5/11,45%,38,107,,,,, 
2002,1,FUE,V,100:00,47,10/18,56%,17/38,45%,1/15,7%,29,15,,,,, 
2002,2,CAC,L,100:00,77,6/10,60%,22/37,59%,9/29,31%,29,62,,,,, 
2002,2,LLE,V,100:00,85,22/30,73%,30/49,61%,1/10,10%,38,107,,,,, 
2002,2,GRA,L,100:00,78,23/29,79%,20/48,42%,5/13,38%,29,75,,,,, 
2002,2,RMB,V,100:00,87,19/26,73%,19/35,54%,10/22,45%,35,90,,,,, 
2002,2,FUE,L,100:00,89,16/17,94%,20/34,59%,11/23,48%,23,87,,,,, 
2002,2,ALI,V,100:00,82,15/20,75%,23/44,52%,7/25,28%,34,86,,,,, 
2002,2,CSF,L,100:00,70,14/21,67%,16/40,40%,8/22,36%,41,71,,,,, 
2002,2,FOR,V,100:00,68,17/25,68%,18/34,53%,5/22,23%,33,74,,,,, 
2002,2,TAU,L,100:00,74,20/24,83%,24/40,60%,2/14,14%,22,66,,,,, 
2002,2,PAM,V,100:00,92,19/25,76%,29/57,51%,5/16,31%,42,106,,,,, 
2002,2,MAN,L,100:00,73,14/17,82%,13/33,39%,11/23,48%,26,62,,,,, 
2002,2,FCB,V,100:00,71,20/29,69%,9/23,39%,11/23,48%,30,81,,,,, 
2002,2,UNI,L,100:00,73,13/19,68%,21/42,50%,6/25,24%,33,70,,,,, 
2002,2,DKV,V,100:00,74,12/22,55%,25/45,56%,4/11,36%,39,81,,,,, 
2002,2,EST,L,100:00,109,16/17,94%,27/42,64%,13/30,43%,33,127,,,,, 
2002,2,BRE,V,100:00,70,14/23,61%,22/36,61%,4/17,24%,26,56,,,,, 
2002,2,GIR,L,100:00,100,18/24,75%,29/46,63%,8/11,73%,34,118,,,,, 
