Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2011,1,CLA,L,100:00,73,10/16,63%,18/27,67%,9/22,41%,26,92,,,,, 
2011,1,CAJ,V,100:00,60,8/12,67%,20/40,50%,4/21,19%,36,48,,,,, 
2011,1,MAN,L,100:00,71,18/24,75%,22/51,43%,3/14,21%,35,83,,,,, 
2011,1,JOV,V,100:00,59,15/23,65%,19/45,42%,2/13,15%,44,47,,,,, 
2011,1,GBC,L,100:00,68,14/18,78%,18/37,49%,6/18,33%,27,55,,,,, 
2011,1,BSM,V,100:00,71,16/26,62%,17/37,46%,7/17,41%,35,71,,,,, 
2011,1,UNI,L,100:00,85,12/19,63%,20/38,53%,11/27,41%,43,96,,,,, 
2011,1,GCA,V,100:00,68,19/27,70%,17/34,50%,5/21,24%,29,65,,,,, 
2011,1,ALI,L,100:00,81,33/42,79%,18/27,67%,4/19,21%,18,92,,,,, 
2011,1,GES,V,100:00,77,5/11,45%,24/33,73%,8/19,42%,28,63,,,,, 
2011,1,RMB,L,100:00,88,17/23,74%,25/52,48%,7/20,35%,48,112,,,,, 
2011,1,MCF,V,100:00,70,9/16,56%,17/45,38%,9/21,43%,34,54,,,,, 
2011,1,UCM,L,100:00,54,5/6,83%,23/51,45%,1/16,6%,44,53,,,,, 
2011,1,FCB,V,100:00,62,8/8,100%,21/44,48%,4/17,24%,33,64,,,,, 
2011,1,ASE,L,100:00,71,14/25,56%,18/39,46%,7/21,33%,33,81,,,,, 
2011,1,VBC,V,100:00,69,11/12,92%,14/32,44%,10/23,43%,37,64,,,,, 
2011,1,CAI,L,100:00,75,11/18,61%,17/31,55%,10/24,42%,34,77,,,,, 
2011,1,BRV,V,100:00,74,11/14,79%,21/46,46%,7/16,44%,30,72,,,,, 
2011,2,CAJ,L,100:00,86,19/22,86%,23/41,56%,7/16,44%,45,107,,,,, 
2011,2,ALI,V,100:00,61,15/21,71%,14/31,45%,6/29,21%,26,46,,,,, 
2011,2,GCA,L,100:00,68,16/20,80%,20/34,59%,4/20,20%,32,64,,,,, 
2011,2,CLA,V,100:00,77,22/29,76%,17/37,46%,7/19,37%,34,87,,,,, 
2011,2,JOV,L,100:00,71,14/14,100%,18/45,40%,7/24,29%,36,73,,,,, 
2011,2,UCM,V,100:00,65,11/13,85%,24/44,55%,2/15,13%,36,65,,,,, 
2011,2,VBC,L,100:00,82,14/17,82%,22/40,55%,8/23,35%,32,99,,,,, 
2011,2,CAI,V,100:00,66,11/13,85%,17/28,61%,7/24,29%,27,57,,,,, 
2011,2,FCB,L,100:00,97,16/20,80%,30/40,75%,7/20,35%,41,144,,,,, 
2011,2,ASE,V,100:00,51,7/10,70%,16/44,36%,4/13,31%,22,29,,,,, 
2011,2,MCF,L,100:00,73,11/16,69%,16/35,46%,10/24,42%,39,72,,,,, 
2011,2,MAN,V,100:00,79,8/14,57%,25/51,49%,7/21,33%,38,87,,,,, 
2011,2,BSM,L,100:00,71,9/9,100%,19/44,43%,8/26,31%,35,63,,,,, 
2011,2,UNI,V,100:00,78,11/13,85%,23/42,55%,7/16,44%,32,94,,,,, 
2011,2,BRV,L,100:00,89,21/29,72%,25/46,54%,6/23,26%,44,102,,,,, 
2011,2,GBC,V,100:00,86,16/22,73%,23/41,56%,8/25,32%,36,85,,,,, 
2011,2,GES,L,100:00,86,20/24,83%,21/38,55%,8/19,42%,35,76,,,,, 
2011,2,RMB,V,100:00,82,20/32,63%,25/43,58%,4/17,24%,34,86,,,,, 
2011,3,GBC,L,100:00,92,18/18,100%,19/39,49%,12/29,41%,23,85,,,,, 
2011,3,UNI,V,100:00,95,23/29,79%,27/42,64%,6/15,40%,32,107,,,,, 
2011,3,CAI,L,100:00,86,16/16,100%,23/35,66%,8/21,38%,32,109,,,,, 
2011,3,CLA,V,100:00,66,8/12,67%,20/39,51%,6/19,32%,24,61,,,,, 
2011,3,MCF,L,100:00,88,13/17,76%,30/46,65%,5/28,18%,51,105,,,,, 
2011,3,ASE,V,100:00,80,11/14,79%,21/39,54%,9/23,39%,20,79,,,,, 
2011,3,GES,L,100:00,78,15/20,75%,24/42,57%,5/16,31%,38,93,,,,, 
2011,3,JOV,V,100:00,72,14/20,70%,17/44,39%,8/18,44%,32,63,,,,, 
2011,3,GCA,L,100:00,66,9/15,60%,15/36,42%,9/27,33%,41,74,,,,, 
2011,3,UCM,V,100:00,54,12/16,75%,9/27,33%,8/31,26%,37,52,,,,, 
2011,3,BSM,L,100:00,61,11/13,85%,16/33,48%,6/17,35%,29,61,,,,, 
2011,3,MAN,V,100:00,49,4/10,40%,15/28,54%,5/22,23%,26,40,,,,, 
2011,3,BRV,L,100:00,72,10/14,71%,25/48,52%,4/16,25%,26,60,,,,, 
2011,3,RMB,V,100:00,84,17/24,71%,23/43,53%,7/15,47%,39,99,,,,, 
2011,3,VBC,L,100:00,67,15/27,56%,17/35,49%,6/23,26%,27,46,,,,, 
2011,3,ALI,V,100:00,70,18/24,75%,17/30,57%,6/14,43%,29,68,,,,, 
2011,3,CAJ,L,100:00,81,17/20,85%,23/52,44%,6/11,55%,36,92,,,,, 
2011,3,FCB,V,100:00,75,10/13,77%,19/35,54%,9/24,38%,33,77,,,,, 
2011,4,ASE,L,100:00,62,17/24,71%,18/45,40%,3/12,25%,34,63,,,,, 
2011,4,GBC,V,100:00,58,10/14,71%,12/26,46%,8/35,23%,43,43,,,,, 
2011,4,UNI,L,100:00,79,12/15,80%,26/53,49%,5/17,29%,43,101,,,,, 
2011,4,CAI,V,100:00,57,17/17,100%,11/30,37%,6/25,24%,34,48,,,,, 
2011,4,CLA,L,100:00,72,12/15,80%,21/40,53%,6/23,26%,32,72,,,,, 
2011,4,VBC,V,100:00,82,16/19,84%,24/40,60%,6/13,46%,28,88,,,,, 
2011,4,ALI,L,100:00,91,14/15,93%,13/27,48%,17/30,57%,30,108,,,,, 
2011,4,BRV,V,100:00,64,7/8,88%,15/41,37%,9/20,45%,33,61,,,,, 
2011,4,RMB,L,100:00,81,11/14,79%,23/43,53%,8/23,35%,40,98,,,,, 
2011,4,BSM,V,100:00,67,9/14,64%,20/41,49%,6/16,38%,27,51,,,,, 
2011,4,MAN,L,100:00,69,13/21,62%,16/34,47%,8/15,53%,28,77,,,,, 
2011,4,GCA,V,100:00,60,11/17,65%,14/34,41%,7/23,30%,35,45,,,,, 
2011,4,UCM,L,100:00,65,19/23,83%,17/35,49%,4/21,19%,42,73,,,,, 
2011,4,CAJ,V,100:00,58,10/13,77%,18/42,43%,4/24,17%,40,44,,,,, 
2011,4,JOV,L,100:00,62,7/7,100%,23/41,56%,3/24,13%,30,62,,,,, 
2011,4,MCF,V,100:00,73,11/15,73%,28/45,62%,2/16,13%,35,84,,,,, 
2011,4,FCB,L,100:00,91,15/22,68%,23/38,61%,10/22,45%,37,119,,,,, 
2011,4,GES,V,100:00,72,7/10,70%,25/52,48%,5/13,38%,29,69,,,,, 
2011,5,JOV,L,100:00,74,14/15,93%,21/42,50%,6/25,24%,40,82,,,,, 
2011,5,ASE,V,100:00,71,14/17,82%,21/43,49%,5/18,28%,37,79,,,,, 
2011,5,CAJ,L,100:00,76,26/32,81%,19/53,36%,4/10,40%,47,82,,,,, 
2011,5,MAN,V,100:00,65,17/25,68%,12/28,43%,8/23,35%,26,64,,,,, 
2011,5,CAI,L,100:00,77,17/21,81%,24/44,55%,4/21,19%,30,63,,,,, 
2011,5,GBC,V,100:00,86,23/25,92%,24/47,51%,5/15,33%,39,92,,,,, 
2011,5,MCF,L,100:00,56,9/14,64%,13/40,33%,7/21,33%,42,52,,,,, 
2011,5,FCB,V,100:00,66,4/4,100%,19/43,44%,8/20,40%,36,74,,,,, 
2011,5,BSM,L,100:00,69,13/17,76%,19/34,56%,6/17,35%,24,59,,,,, 
2011,5,ALI,V,100:00,73,22/29,76%,12/30,40%,9/21,43%,24,70,,,,, 
2011,5,BRV,L,100:00,64,7/9,78%,24/50,48%,3/14,21%,30,58,,,,, 
2011,5,CLA,V,100:00,76,23/27,85%,22/33,67%,3/18,17%,29,88,,,,, 
2011,5,VBC,L,100:00,75,13/19,68%,19/33,58%,8/21,38%,30,76,,,,, 
2011,5,UNI,V,100:00,62,11/17,65%,21/40,53%,3/18,17%,34,62,,,,, 
2011,5,GES,L,100:00,95,28/33,85%,29/48,60%,3/11,27%,39,114,,,,, 
2011,5,UCM,V,100:00,80,14/16,88%,24/44,55%,6/22,27%,25,56,,,,, 
2011,5,GCA,L,100:00,60,12/19,63%,18/45,40%,4/20,20%,42,40,,,,, 
2011,5,RMB,V,100:00,68,21/31,68%,10/30,33%,9/25,36%,42,89,,,,, 
2011,6,MAN,L,100:00,81,26/33,79%,17/36,47%,7/21,33%,31,86,,,,, 
2011,6,GES,V,100:00,73,13/17,76%,21/35,60%,6/24,25%,35,70,,,,, 
2011,6,ASE,L,100:00,67,9/10,90%,23/57,40%,4/21,19%,45,69,,,,, 
2011,6,CAI,V,100:00,63,1/4,25%,19/36,53%,8/29,28%,38,58,,,,, 
2011,6,UNI,L,100:00,78,15/20,75%,24/43,56%,5/20,25%,45,100,,,,, 
2011,6,BRV,V,100:00,51,14/19,74%,14/40,35%,3/22,14%,36,29,,,,, 
2011,6,CLA,L,100:00,72,19/23,83%,16/35,46%,7/19,37%,42,84,,,,, 
2011,6,BSM,V,100:00,53,12/20,60%,16/44,36%,3/19,16%,33,39,,,,, 
2011,6,ALI,L,100:00,58,15/22,68%,14/37,38%,5/16,31%,39,80,,,,, 
2011,6,GCA,V,100:00,55,1/1,100%,15/37,41%,8/23,35%,36,34,,,,, 
2011,6,UCM,L,100:00,71,17/20,85%,15/37,41%,8/19,42%,34,82,,,,, 
2011,6,MCF,V,100:00,65,16/21,76%,17/35,49%,5/21,24%,37,57,,,,, 
2011,6,FCB,L,100:00,82,8/11,73%,25/44,57%,8/19,42%,34,98,,,,, 
2011,6,JOV,V,100:00,70,12/14,86%,23/48,48%,4/10,40%,28,64,,,,, 
2011,6,GBC,L,100:00,80,14/17,82%,21/37,57%,8/23,35%,35,77,,,,, 
2011,6,VBC,V,100:00,86,23/33,70%,15/32,47%,11/22,50%,30,94,,,,, 
2011,6,RMB,L,100:00,78,15/19,79%,21/41,51%,7/23,30%,44,93,,,,, 
2011,6,CAJ,V,100:00,65,18/23,78%,16/47,34%,5/18,28%,36,56,,,,, 
