Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_3C,Puntos_4C,Puntos_PR
2016,1,RMB,L,200:00,101,20/26,77%,30/47,64%,7/21,33%,37,128,26,31,14,30, 
2016,1,UNI,V,200:00,90,6/10,60%,24/46,52%,12/25,48%,33,91,24,26,23,17, 
2016,1,MOV,L,200:00,82,23/26,88%,16/27,59%,9/31,29%,26,83,11,22,21,28, 
2016,1,BET,V,200:00,95,16/24,67%,26/49,53%,9/17,53%,38,96,22,26,27,20, 
2016,1,MOB,L,200:00,76,14/21,67%,22/47,47%,6/17,35%,31,68,20,19,14,23, 
2016,1,BAS,V,200:00,92,11/19,58%,24/43,56%,11/21,52%,35,104,30,22,24,16, 
2016,1,MAN,L,200:00,50,5/12,42%,21/43,49%,1/24,4%,44,43,5,10,16,19, 
2016,1,BAR,V,200:00,56,9/19,47%,22/36,61%,1/23,4%,44,68,9,14,17,16, 
2016,1,MKF,L,200:00,80,6/13,46%,25/41,61%,8/31,26%,30,84,18,13,23,26, 
2016,1,RBB,V,200:00,89,19/24,79%,26/38,68%,6/22,27%,42,99,23,24,26,16, 
2016,1,UCB,L,200:00,67,12/16,75%,23/42,55%,3/17,18%,36,71,15,16,16,20, 
2016,1,JOV,V,200:00,65,9/11,82%,13/29,45%,10/27,37%,21,59,16,11,28,10, 
2016,1,ZGZ,L,200:00,68,16/21,76%,17/35,49%,6/22,27%,30,81,18,25,9,16, 
2016,1,VBC,V,200:00,80,4/5,80%,23/40,58%,10/26,38%,37,101,24,18,15,23, 
2016,1,HGC,L,200:00,81,17/25,68%,17/42,40%,10/22,45%,36,81,20,15,22,24, 
2016,1,IBT,V,200:00,92,14/16,88%,24/40,60%,10/27,37%,35,97,17,19,28,28, 
2016,2,MBA,L,200:00,97,28/32,88%,18/39,46%,11/25,44%,39,134,23,20,25,29, 
