Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2015,1,HGC,L,100:00,97,21/28,75%,26/41,63%,8/20,40%,40,126,,,,, 
2015,1,GBC,V,100:00,64,8/10,80%,16/39,41%,8/22,36%,26,44,,,,, 
2015,1,MKF,L,100:00,78,10/13,77%,19/35,54%,10/24,42%,31,85,,,,, 
2015,1,MAN,V,100:00,60,19/23,83%,13/31,42%,5/25,20%,35,61,,,,, 
2015,1,JOV,L,100:00,83,10/13,77%,17/39,44%,13/28,46%,39,86,,,,, 
2015,1,IBT,V,100:00,75,16/21,76%,22/49,45%,5/17,29%,38,92,,,,, 
2015,1,UCM,L,100:00,58,16/21,76%,12/30,40%,6/22,27%,36,57,,,,, 
2015,1,UNI,V,100:00,60,14/18,78%,14/31,45%,6/20,30%,23,51,,,,, 
2015,1,MOB,L,100:00,88,17/21,81%,19/33,58%,11/21,52%,33,116,,,,, 
2015,1,SEV,V,100:00,53,13/16,81%,14/37,38%,4/19,21%,28,32,,,,, 
2015,1,MOV,L,100:00,58,6/7,86%,20/38,53%,4/28,14%,31,39,,,,, 
2015,1,BAS,V,100:00,85,17/21,81%,22/30,73%,8/25,32%,37,117,,,,, 
2015,1,RMB,L,100:00,82,14/22,64%,28/44,64%,4/18,22%,32,89,,,,, 
2015,1,VBC,V,100:00,88,20/21,95%,19/35,54%,10/25,40%,31,101,,,,, 
2015,1,MBA,L,100:00,69,13/17,76%,16/38,42%,8/17,47%,25,68,,,,, 
2015,1,RBB,V,100:00,79,5/6,83%,22/31,71%,10/24,42%,28,82,,,,, 
2015,1,BAR,L,100:00,84,13/17,76%,25/39,64%,7/27,26%,35,103,,,,, 
2015,1,ZGZ,V,100:00,76,10/14,71%,18/31,58%,10/23,43%,25,77,,,,, 
2015,2,ZGZ,L,100:00,84,26/26,100%,23/40,58%,4/17,24%,41,109,,,,, 
2015,2,UCM,V,100:00,64,9/11,82%,14/29,48%,9/32,28%,25,45,,,,, 
2015,2,BAS,L,100:00,82,9/10,90%,20/31,65%,11/29,38%,32,88,,,,, 
2015,2,MOB,V,100:00,75,16/19,84%,22/43,51%,5/11,45%,23,80,,,,, 
2015,2,RBB,L,100:00,59,9/11,82%,13/41,32%,8/25,32%,34,49,,,,, 
2015,2,HGC,V,100:00,85,14/18,78%,22/32,69%,9/32,28%,44,97,,,,, 
2015,2,VBC,L,100:00,76,20/22,91%,19/37,51%,6/18,33%,38,92,,,,, 
2015,2,JOV,V,100:00,69,17/20,85%,14/35,40%,8/22,36%,30,64,,,,, 
2015,2,IBT,L,100:00,81,19/24,79%,19/33,58%,8/23,35%,29,97,,,,, 
2015,2,MBA,V,100:00,83,15/22,68%,19/34,56%,10/27,37%,35,91,,,,, 
2015,2,SEV,L,100:00,58,12/15,80%,17/47,36%,4/12,33%,27,39,,,,, 
2015,2,BAR,V,100:00,97,15/20,75%,23/32,72%,12/26,46%,34,122,,,,, 
2015,2,UNI,L,100:00,81,16/23,70%,16/35,46%,11/24,46%,36,102,,,,, 
2015,2,MKF,V,100:00,59,6/8,75%,13/29,45%,9/34,26%,32,45,,,,, 
2015,2,MAN,L,100:00,85,14/19,74%,22/41,54%,9/21,43%,35,97,,,,, 
2015,2,MOV,V,100:00,67,16/22,73%,21/44,48%,3/19,16%,34,62,,,,, 
2015,2,GBC,L,100:00,61,9/12,75%,20/37,54%,4/26,15%,19,47,,,,, 
2015,2,RMB,V,100:00,94,12/14,86%,26/37,70%,10/23,43%,40,117,,,,, 
2015,3,MOB,L,100:00,82,14/18,78%,22/46,48%,8/18,44%,33,94,,,,, 
2015,3,ZGZ,V,100:00,67,21/26,81%,14/31,45%,6/22,27%,35,66,,,,, 
2015,3,JOV,L,100:00,79,23/29,79%,13/29,45%,10/28,36%,44,102,,,,, 
2015,3,MKF,V,100:00,66,11/16,69%,17/45,38%,7/21,33%,35,49,,,,, 
2015,3,HGC,L,100:00,76,17/20,85%,16/26,62%,9/27,33%,32,92,,,,, 
2015,3,SEV,V,100:00,67,12/15,80%,20/44,45%,5/21,24%,37,57,,,,, 
2015,3,MOV,L,100:00,73,18/23,78%,20/39,51%,5/22,23%,38,76,,,,, 
2015,3,VBC,V,100:00,81,14/18,78%,17/34,50%,11/26,42%,31,84,,,,, 
2015,3,UCM,L,100:00,74,17/24,71%,12/29,41%,11/24,46%,30,70,,,,, 
2015,3,BAR,V,100:00,82,28/34,82%,21/31,68%,4/15,27%,26,95,,,,, 
2015,3,GBC,L,100:00,63,23/25,92%,11/23,48%,6/20,30%,30,65,,,,, 
2015,3,RBB,V,100:00,75,14/16,88%,14/31,45%,11/28,39%,29,79,,,,, 
2015,3,UNI,L,100:00,66,9/17,53%,15/38,39%,9/23,39%,38,66,,,,, 
2015,3,BAS,V,100:00,74,10/12,83%,20/34,59%,8/28,29%,33,85,,,,, 
2015,3,MBA,L,100:00,74,20/23,87%,21/42,50%,4/22,18%,30,87,,,,, 
2015,3,MAN,V,100:00,77,3/6,50%,22/40,55%,10/20,50%,33,73,,,,, 
2015,3,RMB,L,100:00,112,9/12,75%,32/45,71%,13/25,52%,36,140,,,,, 
2015,3,IBT,V,100:00,89,21/26,81%,22/38,58%,8/27,30%,25,97,,,,, 
2015,4,VBC,L,100:00,76,6/8,75%,20/29,69%,10/30,33%,37,95,,,,, 
2015,4,MOB,V,100:00,56,11/14,79%,12/29,41%,7/28,25%,29,51,,,,, 
2015,4,SEV,L,100:00,85,17/18,94%,13/28,46%,14/29,48%,31,91,,,,, 
2015,4,UCM,V,100:00,90,22/29,76%,16/33,48%,12/25,48%,30,94,,,,, 
2015,4,BAR,L,100:00,97,6/10,60%,23/32,72%,15/29,52%,28,130,,,,, 
2015,4,GBC,V,100:00,61,13/15,87%,18/38,47%,4/16,25%,27,51,,,,, 
2015,4,BAS,L,100:00,77,18/20,90%,16/33,48%,9/29,31%,36,86,,,,, 
2015,4,HGC,V,100:00,67,18/20,90%,14/37,38%,7/22,32%,33,69,,,,, 
2015,4,MKF,L,100:00,78,11/14,79%,14/31,45%,13/28,46%,26,75,,,,, 
2015,4,MBA,V,100:00,72,20/20,100%,14/25,56%,8/21,38%,31,80,,,,, 
2015,4,IBT,L,100:00,73,13/20,65%,21/42,50%,6/16,38%,32,78,,,,, 
2015,4,MOV,V,100:00,75,13/14,93%,16/36,44%,10/22,45%,34,78,,,,, 
2015,4,ZGZ,L,100:00,80,14/16,88%,24/44,55%,6/22,27%,26,71,,,,, 
2015,4,RMB,V,100:00,88,18/22,82%,29/47,62%,4/17,24%,37,107,,,,, 
2015,4,MAN,L,100:00,84,12/17,71%,24/36,67%,8/23,35%,31,84,,,,, 
2015,4,JOV,V,100:00,85,21/27,78%,17/30,57%,10/32,31%,33,90,,,,, 
2015,4,RBB,L,100:00,88,8/8,100%,19/35,54%,14/31,45%,36,93,,,,, 
2015,4,UNI,V,100:00,70,25/36,69%,18/31,58%,3/20,15%,30,73,,,,, 
2015,5,MKF,L,100:00,79,8/15,53%,19/30,63%,11/27,41%,30,82,,,,, 
2015,5,SEV,V,100:00,81,23/25,92%,17/34,50%,8/22,36%,31,88,,,,, 
2015,5,MOB,L,100:00,81,10/15,67%,22/39,56%,9/22,41%,30,95,,,,, 
2015,5,GBC,V,100:00,68,8/10,80%,21/33,64%,6/16,38%,22,69,,,,, 
2015,5,MBA,L,100:00,66,11/14,79%,14/37,38%,9/15,60%,27,65,,,,, 
2015,5,BAR,V,100:00,89,12/15,80%,25/41,61%,9/26,35%,34,109,,,,, 
2015,5,HGC,L,100:00,88,15/22,68%,23/39,59%,9/23,39%,43,117,,,,, 
2015,5,MAN,V,100:00,59,3/13,23%,16/30,53%,8/30,27%,29,42,,,,, 
2015,5,JOV,L,100:00,71,11/17,65%,12/34,35%,12/39,31%,39,63,,,,, 
2015,5,ZGZ,V,100:00,70,19/22,86%,21/42,50%,3/19,16%,44,76,,,,, 
2015,5,UNI,L,100:00,85,13/22,59%,24/49,49%,8/25,32%,43,90,,,,, 
2015,5,IBT,V,100:00,75,8/13,62%,23/53,43%,7/22,32%,46,80,,,,, 
2015,5,UCM,L,100:00,96,26/30,87%,14/30,47%,14/25,56%,39,116,,,,, 
2015,5,RBB,V,100:00,68,22/23,96%,14/26,54%,6/31,19%,22,47,,,,, 
2015,5,MOV,L,100:00,75,17/26,65%,17/32,53%,8/27,30%,35,76,,,,, 
2015,5,RMB,V,100:00,80,15/21,71%,19/47,40%,9/23,39%,45,81,,,,, 
2015,5,VBC,L,100:00,85,19/24,79%,21/38,55%,8/22,36%,35,118,,,,, 
2015,5,BAS,V,100:00,78,10/13,77%,16/37,43%,12/31,39%,36,63,,,,, 
2015,6,ZGZ,L,100:00,73,24/27,89%,17/36,47%,5/27,19%,36,69,,,,, 
2015,6,MBA,V,100:00,80,16/19,84%,17/34,50%,10/29,34%,36,88,,,,, 
2015,6,BAR,L,100:00,67,12/18,67%,20/36,56%,5/23,22%,40,79,,,,, 
2015,6,MOB,V,100:00,57,9/12,75%,21/43,49%,2/18,11%,34,48,,,,, 
2015,6,RMB,L,100:00,106,18/21,86%,26/35,74%,12/24,50%,37,152,,,,, 
2015,6,MAN,V,100:00,68,9/10,90%,22/49,45%,5/19,26%,25,41,,,,, 
2015,6,SEV,L,100:00,94,15/19,79%,20/32,63%,13/23,57%,28,108,,,,, 
2015,6,UNI,V,100:00,84,14/18,78%,17/28,61%,12/34,35%,25,78,,,,, 
2015,6,BAS,L,100:00,90,29/33,88%,23/35,66%,5/14,36%,34,110,,,,, 
2015,6,UCM,V,100:00,67,7/13,54%,24/47,51%,4/29,14%,34,56,,,,, 
2015,6,RBB,L,100:00,104,23/24,96%,21/42,50%,13/29,45%,32,103,,,,, 
2015,6,VBC,V,100:00,111,26/35,74%,26/48,54%,11/25,44%,43,125,,,,, 
2015,6,GBC,L,100:00,68,18/23,78%,16/35,46%,6/22,27%,31,60,,,,, 
2015,6,MKF,V,100:00,82,18/21,86%,20/38,53%,8/28,29%,39,91,,,,, 
2015,6,MOV,L,100:00,83,13/20,65%,20/40,50%,10/25,40%,34,84,,,,, 
2015,6,JOV,V,100:00,86,11/15,73%,24/40,60%,9/25,36%,35,105,,,,, 
2015,6,IBT,L,100:00,65,6/11,55%,19/40,48%,7/21,33%,35,67,,,,, 
2015,6,HGC,V,100:00,63,10/12,83%,16/32,50%,7/29,24%,38,63,,,,, 
2015,7,MKF,L,100:00,85,23/30,77%,16/26,62%,10/31,32%,22,77,,,,, 
2015,7,IBT,V,100:00,94,23/30,77%,19/35,54%,11/22,50%,35,109,,,,, 
2015,7,SEV,L,100:00,71,11/17,65%,18/34,53%,8/23,35%,31,63,,,,, 
2015,7,RBB,V,100:00,81,25/35,71%,16/28,57%,8/22,36%,30,99,,,,, 
2015,7,MBA,L,100:00,82,19/22,86%,21/34,62%,7/24,29%,29,87,,,,, 
2015,7,UNI,V,100:00,79,14/20,70%,22/39,56%,7/19,37%,28,84,,,,, 
2015,7,HGC,L,100:00,91,19/29,66%,21/43,49%,10/29,34%,39,108,,,,, 
2015,7,ZGZ,V,100:00,79,18/22,82%,20/45,44%,7/25,28%,41,63,,,,, 
2015,7,VBC,L,100:00,92,15/20,75%,25/38,66%,9/23,39%,29,125,,,,, 
2015,7,GBC,V,100:00,65,8/9,89%,18/36,50%,7/15,47%,23,59,,,,, 
2015,7,BAS,L,100:00,87,17/22,77%,26/43,60%,6/21,29%,35,93,,,,, 
2015,7,BAR,V,100:00,79,13/17,76%,27/51,53%,4/17,24%,36,83,,,,, 
2015,7,MOB,L,100:00,73,21/24,88%,14/31,45%,8/23,35%,35,76,,,,, 
2015,7,MOV,V,100:00,71,17/23,74%,21/39,54%,4/24,17%,38,66,,,,, 
2015,7,MAN,L,100:00,77,18/24,75%,19/30,63%,7/22,32%,36,79,,,,, 
2015,7,UCM,V,100:00,69,25/32,78%,13/30,43%,6/25,24%,28,60,,,,, 
2015,7,JOV,L,100:00,69,18/22,82%,18/43,42%,5/19,26%,28,67,,,,, 
2015,7,RMB,V,100:00,79,14/19,74%,22/38,58%,7/20,35%,43,81,,,,, 
2015,8,MOB,L,100:00,83,19/23,83%,20/30,67%,8/20,40%,28,93,,,,, 
2015,8,JOV,V,100:00,79,19/25,76%,15/32,47%,10/32,31%,31,76,,,,, 
2015,8,UCM,L,100:00,76,16/23,70%,18/39,46%,8/22,36%,40,91,,,,, 
2015,8,MBA,V,100:00,72,18/23,78%,12/29,41%,10/28,36%,31,56,,,,, 
2015,8,BAR,L,100:00,76,9/15,60%,23/40,58%,7/24,29%,38,85,,,,, 
2015,8,MKF,V,100:00,65,5/12,42%,27/54,50%,2/12,17%,35,69,,,,, 
2015,8,ZGZ,L,100:00,66,20/25,80%,20/41,49%,2/22,9%,41,53,,,,, 
2015,8,BAS,V,100:00,90,16/20,80%,25/45,56%,8/25,32%,38,93,,,,, 
2015,8,UNI,L,100:00,89,9/9,100%,19/37,51%,14/30,47%,39,108,,,,, 
2015,8,MOV,V,100:00,59,6/9,67%,19/35,54%,5/20,25%,23,56,,,,, 
2015,8,IBT,L,100:00,65,13/17,76%,20/42,48%,4/21,19%,30,57,,,,, 
2015,8,MAN,V,100:00,71,25/29,86%,17/33,52%,4/17,24%,38,83,,,,, 
2015,8,GBC,L,100:00,68,16/20,80%,17/30,57%,6/23,26%,34,61,,,,, 
2015,8,SEV,V,100:00,76,13/21,62%,21/39,54%,7/23,30%,34,88,,,,, 
2015,8,RBB,L,100:00,92,16/18,89%,23/35,66%,10/25,40%,25,87,,,,, 
2015,8,RMB,V,100:00,99,26/33,79%,26/41,63%,7/22,32%,35,115,,,,, 
2015,8,VBC,L,100:00,86,10/12,83%,23/37,62%,10/24,42%,32,106,,,,, 
2015,8,HGC,V,100:00,61,12/16,75%,17/35,49%,5/22,23%,33,63,,,,, 
2015,9,MKF,L,100:00,79,12/16,75%,20/43,47%,9/22,41%,30,81,,,,, 
2015,9,RBB,V,100:00,75,14/18,78%,20/34,59%,7/26,27%,40,75,,,,, 
2015,9,MBA,L,100:00,88,21/26,81%,17/36,47%,11/24,46%,40,109,,,,, 
2015,9,GBC,V,100:00,70,11/14,79%,19/39,49%,7/21,33%,29,65,,,,, 
2015,9,HGC,L,100:00,88,18/23,78%,17/34,50%,12/27,44%,41,117,,,,, 
2015,9,MOB,V,100:00,75,9/12,75%,15/36,42%,12/25,48%,25,62,,,,, 
2015,9,JOV,L,100:00,84,20/26,77%,17/29,59%,10/23,43%,27,88,,,,, 
2015,9,UNI,V,100:00,90,7/12,58%,31/45,69%,7/15,47%,27,107,,,,, 
2015,9,RMB,L,100:00,101,20/31,65%,24/42,57%,11/18,61%,38,109,,,,, 
2015,9,UCM,V,100:00,80,13/18,72%,17/41,41%,11/28,39%,31,72,,,,, 
2015,9,SEV,L,100:00,67,16/17,94%,18/37,49%,5/15,33%,29,77,,,,, 
2015,9,VBC,V,100:00,81,13/15,87%,16/30,53%,12/23,52%,27,89,,,,, 
2015,9,BAS,L,100:00,92,27/36,75%,25/48,52%,5/17,29%,32,97,,,,, 
2015,9,IBT,V,100:00,98,19/28,68%,26/37,70%,9/18,50%,30,110,,,,, 
2015,9,MAN,L,100:00,60,6/9,67%,18/41,44%,6/17,35%,31,52,,,,, 
2015,9,BAR,V,100:00,75,17/24,71%,17/32,53%,8/24,33%,39,91,,,,, 
2015,9,MOV,L,100:00,110,19/30,63%,26/43,60%,13/36,36%,37,118,,,,, 
2015,9,ZGZ,V,100:00,116,32/40,80%,27/53,51%,10/23,43%,45,114,,,,, 
2015,10,VBC,L,100:00,100,25/33,76%,18/26,69%,13/30,43%,29,124,,,,, 
2015,10,MKF,V,100:00,84,14/20,70%,20/32,63%,10/23,43%,24,87,,,,, 
2015,10,MOB,L,100:00,71,27/30,90%,13/25,52%,6/19,32%,27,78,,,,, 
2015,10,MAN,V,100:00,79,21/26,81%,11/28,39%,12/22,55%,25,77,,,,, 
2015,10,MOV,L,100:00,75,11/19,58%,20/43,47%,8/23,35%,37,74,,,,, 
2015,10,MBA,V,100:00,82,16/20,80%,24/45,53%,6/22,27%,40,99,,,,, 
2015,10,RBB,L,100:00,89,14/21,67%,21/42,50%,11/29,38%,34,92,,,,, 
2015,10,BAS,V,100:00,83,16/24,67%,23/37,62%,7/29,24%,45,72,,,,, 
2015,10,SEV,L,100:00,106,24/31,77%,26/45,58%,10/22,45%,45,135,,,,, 
2015,10,JOV,V,100:00,101,13/19,68%,14/28,50%,20/49,41%,32,90,,,,, 
2015,10,IBT,L,100:00,82,13/19,68%,18/29,62%,11/32,34%,37,107,,,,, 
2015,10,ZGZ,V,100:00,78,9/13,69%,24/43,56%,7/19,37%,32,83,,,,, 
2015,10,GBC,L,100:00,67,13/16,81%,24/49,49%,2/11,18%,31,61,,,,, 
2015,10,UCM,V,100:00,76,23/31,74%,13/25,52%,9/29,31%,35,84,,,,, 
