Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_2C,Puntos_3C,Puntos_PR
2019,1,MKF,L,200:00,76,6/16,38%,23/39,59%,8/27,30%,34,77,22,19,15,20, 
2019,1,SPB,V,200:00,87,19/26,73%,16/30,53%,12/30,40%,37,89,20,30,19,18, 
2019,1,BAX,L,200:00,79,10/14,71%,15/32,47%,13/31,42%,42,86,20,15,23,21, 
2019,1,UNI,V,200:00,69,13/16,81%,16/38,42%,8/29,28%,35,68,14,10,19,26, 
2019,1,IBT,L,200:00,67,14/16,88%,19/37,51%,5/28,18%,43,65,14,21,12,20, 
2019,1,RBB,V,200:00,81,7/8,88%,16/34,47%,14/24,58%,26,85,17,17,21,26, 
2019,1,VBC,L,200:00,89,5/5,100%,27/43,63%,10/23,43%,37,120,25,22,19,23, 
2019,1,MBA,V,200:00,68,10/10,100%,17/44,39%,8/25,32%,36,58,18,9,17,24, 
2019,1,HGC,L,200:00,73,17/20,85%,13/32,41%,10/30,33%,36,80,16,17,13,27, 
2019,1,CAZ,V,200:00,79,11/18,61%,22/38,58%,8/17,47%,34,86,17,22,20,20, 
2019,1,MOB,L,200:00,86,9/14,64%,16/34,47%,15/36,42%,30,80,18,25,17,26, 
2019,1,BAR,V,200:00,92,29/35,83%,27/50,54%,3/12,25%,43,115,18,28,21,25, 
2019,1,KBA,L,200:00,105,14/18,78%,29/47,62%,11/22,50%,39,129,22,25,27,31, 
2019,1,MOV,V,200:00,82,18/21,86%,14/35,40%,12/27,44%,30,83,16,30,16,20, 
2019,1,JOV,L,200:00,69,6/12,50%,27/55,49%,3/25,12%,36,61,22,14,13,20, 
2019,1,RMB,V,200:00,88,13/15,87%,18/31,58%,13/28,46%,44,100,23,18,24,23, 
2019,1,UCB,L,200:00,90,4/7,57%,22/39,56%,14/31,45%,39,96,24,12,30,24, 
2019,1,BET,V,200:00,78,18/25,72%,15/35,43%,10/24,42%,32,89,22,20,18,18, 
2019,2,MBA,L,200:00,79,19/22,86%,24/45,53%,4/21,19%,45,88,16,16,34,13, 
2019,2,MKF,V,200:00,69,13/16,81%,19/40,48%,6/25,24%,36,61,13,15,23,18, 
2019,2,UNI,L,200:00,80,19/29,66%,14/25,56%,11/27,41%,26,91,23,18,11,28, 
2019,2,IBT,V,200:00,88,19/24,79%,21/37,57%,9/24,38%,36,102,20,18,27,23, 
2019,2,RBB,L,200:00,83,8/10,80%,21/32,66%,11/31,35%,36,96,28,25,18,12, 
2019,2,VBC,V,200:00,79,16/20,80%,15/33,45%,11/32,34%,37,90,18,16,23,22, 
2019,2,MOV,L,200:00,82,11/11,100%,22/40,55%,9/28,32%,40,99,19,16,24,23, 
2019,2,HGC,V,200:00,78,9/16,56%,24/37,65%,7/25,28%,31,78,21,18,17,22, 
2019,2,CAZ,L,200:00,96,12/12,100%,33/55,60%,6/22,27%,47,117,32,17,22,25, 
2019,2,MOB,V,200:00,64,16/21,76%,12/32,38%,8/29,28%,36,60,12,8,18,26, 
2019,2,BET,L,200:00,95,19/24,79%,23/39,59%,10/26,38%,33,108,23,20,27,25, 
2019,2,JOV,V,200:00,88,19/20,95%,15/32,47%,13/32,41%,36,90,23,21,15,29, 
2019,2,BAR,L,225:00,95,24/29,83%,25/54,46%,7/22,32%,38,101,24,18,16,22,15
2019,2,KBA,V,225:00,87,6/9,67%,27/42,64%,9/24,38%,37,89,19,23,21,17,7
