Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_3C,Puntos_4C,Puntos_PR
2009,1,CAJ,L,100:00,56,6/10,60%,13/29,45%,8/26,31%,28,52,,,,, 
2009,1,RMB,V,100:00,76,13/16,81%,15/30,50%,11/21,52%,32,86,,,,, 
2009,1,OBR,L,100:00,63,16/19,84%,19/43,44%,3/9,33%,26,58,,,,, 
2009,1,FCB,V,100:00,80,11/11,100%,27/43,63%,5/17,29%,31,99,,,,, 
2009,1,UNI,L,100:00,71,8/16,50%,21/43,49%,7/21,33%,31,72,,,,, 
2009,1,FUE,V,100:00,74,14/21,67%,12/27,44%,12/28,43%,38,71,,,,, 
2009,1,MUR,L,100:00,66,14/19,74%,14/36,39%,8/21,38%,34,58,,,,, 
2009,1,CLA,V,100:00,88,17/20,85%,28/51,55%,5/18,28%,34,98,,,,, 
2009,1,BBB,L,100:00,74,8/14,57%,18/29,62%,10/28,36%,33,80,,,,, 
2009,1,GRA,V,100:00,63,15/23,65%,18/35,51%,4/18,22%,32,66,,,,, 
2009,1,ALI,L,100:00,80,14/19,74%,18/31,58%,10/28,36%,30,77,,,,, 
2009,1,BRV,V,100:00,78,15/20,75%,21/37,57%,7/21,33%,33,83,,,,, 
2009,1,VBC,L,100:00,80,14/20,70%,18/31,58%,10/21,48%,30,90,,,,, 
2009,1,ASE,V,100:00,68,10/12,83%,17/37,46%,8/23,35%,30,55,,,,, 
2009,1,GCA,L,100:00,67,11/13,85%,16/28,57%,8/26,31%,26,70,,,,, 
2009,1,DKV,V,100:00,69,4/8,50%,16/30,53%,11/32,34%,35,74,,,,, 
2009,1,GBC,L,100:00,77,21/28,75%,22/36,61%,4/16,25%,26,73,,,,, 
2009,1,MAN,V,100:00,80,18/24,75%,16/26,62%,10/24,42%,25,83,,,,, 
